Reference number,References
155,"Alexandrino, J., N. Ferrand and J.W. Arntzen. 2005. Morphological variation in two genetically distinct groups of the golden-striped salamander, Chioglossa lusitanica (Amphibia : Urodela ). Contributions to Zoology 74: 213-222"
156,"Sequeira, F., N.M. Ferrand, and E.G. Crespo. 2003. Reproductive cycle of the golden-striped salamander Chioglossa lusitanica (Caudata, Salamandridae) in NW Portuga. Amphibia-Reptilia 24: 1-12"
157,"Brizzi, R., C. Calloni, G. Delfino and G. Tanteri. 1995. Notes on the Male Cloacal Anatomy and Reproductive Biology of Euproctus montanus (Amphibia: Salamandridae). Herpetologica 51: 8-18"
158,"Bovero, S., G. Sotgiu, S. Castellano and C. Giacoma. 2003. Age and Sexual Dimorphism in a Population of Euproctus platycephalus (Caudata : Salamandridae) from Sardinia. Copeia 1: 149-154"
159,"Funnell, S. and B. Tapley. 2009. WAZA Husbandry guidelines for Sardinian Brook Salamander: Euproctus platycephalus. FRENCH URODELA GROUP. 17. Durrell Wildlife Conservation Trust."
160,"Böhme, W., B. Thiesmeier, and K. Grossenbacher. 2004. Handbuch der Reptilien und Amphibien Europas, Band 4/IIB: Schwanzlurche (Urodela) III. 390pp. Wiesbaden, Germany"
161,"Caetano, M.H. and J.R. Leclair. 1999. Comparative Phenology and Demography of Triturus boscai from Portugal. Journal of Herpetology 33: 192-202"
162,"Díaz-Paniagua, C. 2009. Tritón ibérico – Lissotriton boscai. En: Enciclopedia Virtual de los Vertebrados Españoles. Museo Nacional de Ciencias Naturales, Madrid. Available from http://www.vertebradosibericos.org/ (accessed Oct 2010)"
163,"Aragón, P. 2011. The response to the social environment reveals sex-dependent behavioural syndromes in the Bosca’s newt (Lissotriton boscai). Journal of Ethology 29: 79-83"
164,"Orizaola, G. and F. Braña. 2003. Oviposition behaviour and vulnerability of eggs to predation in four newt species (genus Triturus). Herpetological Journal 13: 121-124"
165,"Miaud, C. 1992. La squelettochronologie chez les Triturus (amphibiens, urodèles) à partir d’une étude de T. alpestris, T. helveticus et T. cristatus du sud-est de la France. Tissus durs et âge individuel des vertébrés, colloque national, Bondy, France. 4-6 mars 1991. 363-384"
166,"Temara, K. and J.-P. Jacob (Aves). 2004. Système dʼinformations sur la Biodiversité en Wallonie, observatoire de la Faune, de la Flore et des Habitats. 2011. Available from http://old.biodiversite.wallonie.be/ (accessed Oct 2010)"
167,"Denoël, M. and G.F. Ficetola. 2007. Landscape-level thresholds, and newt conservation. Ecological applications 17: 302-309"
168,"Guarino, F.M., V. Caputa and F. Angelini. 1992. The reproductive cycle of the newt Triturus italicus. Amphibia-Reptilia 13: 121-133"
169,"Dandová, R., K. Weidinger and V. Zavadil. 1998. Morphometric variation, sexual size dimorphism and character scaling in a marginal population of montandon s newt Triturus montandoni from The Czech Republic. Italian Journal of Zoology 65: 399-405"
170,"Babik, W. and J. Rafiski. 2004. Relationship between morphometric and genetic variation in pure and hybrid populations of the smooth and Montandons newt (Triturus vulgaris and T. montandoni). Journal of Zoology 262: 135-143"
171,"Bell, G. 1977. The Life of the Smooth Newt (Triturus vulgaris) after Metamorphosis. Ecological Monographs 47: 279-299"
172,"Verrell, P. and T. Halliday. 1985. Reproductive Dynamics of a Population of Smooth Newts, Triturus vulgaris, in Southern England. Herpetologica 41, 386-395"
173,"Dolmen, D. 1983. Growth and size of Triturus vulgaris and T. cristatus (Amphibia) in different parts of Norway. Holarctic Ecology 6: 356-371"
174,"Hagström, T. 1979. Population ecology of Trituras cristatus and T. vulgaris (Urodela) in SW Sweden. Holarctic Ecology 2: 108-114"
175,"Malmgren, J.C. and M. Thollesson. 1999. Sexual size and shape dimorphism in two species of newts, Triturus cristatus and T. vulgaris (Caudata: Salamandridae). Journal of Zoology 249: 127-136"
176,"Ivanovic, A., T. Vukov, G. Dzukic, N. Tomanevic and M.L. Kalezic. 2007. Ontogeny of skull size and shape changes within a framework of biphasic lifestyle: A case study in six Triturus species (Amphibia, Salamandridae). Zoomorphology 126: 173-183"
177,"Litvinchuk, S.N., J.M. Rosanov and L.J. Borkin. 2007. Correlations of geographic distribution and temperature of embryonic development with the nuclear DNA content in the Salamandridae (Urodela, Amphibia). Genome 50: 333-342"
178,"Griffiths, R.A. 1984. Seasonal behaviour and intrahabitat movements in an urban population of smooth newts, Triturus vulgaris (Amphibia: Salamandridae). Journal of Zoology 203: 241-251"
179,"Blab, J., P. Brüggemann and H. Sauer. 1991. Tierwelt in der Zivilisationslandschaft. Teil II: Raumeinbindung und Biotopnutzung bei Reptilien und Amphibien im Drachenfelser Ländchen. SchrReihe Landschaftspfl. Natursch 34: 1-94"
180,"Dolmen, D. 1981. Local migration, rheotaxis and philopatry by Triturus vulgaris within a locality in central Norway. British Journal of Herpetology 6: 151-158"
181,"Kinne, O. 2006. Successful re-introduction of the newts Triturus cristatus and T. vulgaris. Endangered Species Research 4: 1-16"
182,"Simms, C. 1969. Indications of the decline of breeding amphibians at an isolated pond in marginal land. British Journal of Herpetology 4: 93-96"
183,"Warwick, T. 1949. The colonization of bomb-crater ponds at Marlow, Buckinghamshire. Journal of Animal Ecology 18: 137-141"
184,"Özeti, N. 1967. Morphology of salamander Mertensiella luschani (Steindachner) and relationships of Mertensiella and Salamandra. Copeia 2: 287-298"
185,"Öz, M., S. Düþen, M.R. Tunç, Y. Kumlutaþ, H. Durmuþ and Y. Kaska. 2004. Morphological and Taxonomical Study on the Subspecies of the Lycian Salamander, Mertensiella luschani, (Steindachner, 1891) (Urodela: Salamandridae). Turkish Journal of Zoology 28: 237-244"
186,"Olgun, K., C. Miaud and P. Gautier. 2001. Age, growth and survivorship in the viviparous salamander Mertensiella luschani from southwestern Turkey. Canadian Journal of Zoology 79: 1559-1567"
187,"Özeti, N. 1979. Reproductive biology of the salamander Mertensiella luschani antalyana. Herpetologica 35: 193-197"
188,"Miaud, C., R. Guyetant and H. Faber. 2000. Age, size, and growth of the alpine newt, Triturus alpestris (Urodela : Salamandridae), at high altitude and a review of life history trait variation throughout its range. Herpetologica 56: 135-144"
189,"Denoël, M. 2005. Persistence and dispersion of an introduced population of Alpine Newt (Triturus alpestris) in the limestone plateau of Larzac (Southern France). Revue d’Écologie (la Terre and la Vie) 60: 139-148"
190,"Marzona, E., D. Seglie and C. Giacoma. 2004. Sexual dimorphism in body size and life-history traits in a population of Triturus alpestris alpestris. Italian Journal of Zoology Suppl. 1: 117-120"
191,"Joly, P. and O. Grolet. 1996. Colonization dynamics of new ponds, and the age structure of colonizing Alpine newts, Triturus alpestris. Conservation biology 15: 239-248"
192,"Denoël, M. 2003. Avantages sélectifs dʼun phénotype hétérochronique. Eco-éthologie des populations pédomorphiques du Triton alpestre, Triturus alpestris (Amphibia, Caudata). Cahiers d'Ethologie 23 (collection enquêtes et dossiers : 27). Cahiers dʼéthologie, France"
193,"Salvador, A. 2009. Gallipato – Pleurodeles waltl. En: Enciclopedia Virtual de los Vertebrados Españoles. Museo Nacional de Ciencias Naturales, Madrid. Available from http://www.vertebradosibericos.org/ (accessed Oct 2010)"
194,"Menage, S. 2004. Le protée (Proteus anguinus Laurenti 1768) : Historique, mythologie, biologie et utilisation en expérimentation. Thesis. 67pp. France"
195,"Luiselli, L., F. Andreone, D. Capizzi and C. Anibaldi. 2001. Body size, population structure and fecundity traits of Salamandra atra atra (Amphibia, Urodela, Salamandridae) population from the northeastern Italian Alps. Italian Journal of Zoology 68: 125-130"
196,"Bonato, L. and G. Fracasso. 2003. Movements, distribution pattern and density in a population of Salamandra atra aurorae (Caudata : Salamandridae). Amphibia-Reptilia 24: 251-260"
197,"Phillips, D.J. 2011. Reptiles et Amphibiens de France. Available from http://www.herpfrance.com (accessed Oct 2010)"
198,"Miaud, C., F. Andreone, A. Ribéron, S. De Michelis, V. Clima, J. Castanet, H. Francillon-Vieillot and R. Guyétant. 2001. Variations in age, size at maturity and gestation duration among two neighbouring populations of the Alpine salamander Salamandra lanzai. Journal of Zoology 254: 251-260"
199,"Andreone, F., S. De Michelis and V. Clima. 1999.A montane amphibian and its feeding habits: Salamandra lanzai (Caudata, Salamandridae) in the Alps of northwestern Italy. Italian Journal of Zoology 66: 45-49"
200,"Ribéron, A. and C. Miaud. 2000. Home range and shelter use in Salamandra lanzai (Caudata, Salamandridae). Amphibia-Reptilia 21: 255-260"
201,"Degani, G. and M.R. Warburg. 1978. Population structure and seasonal activity of adult Salamandra salamandra (L.) (Amphibia, Urodela, Salamandridae) in Israel. Journal of Herpetology 12: 437-444"
202,"Joly, J. 1968. Données écologiques sur la salamandre tâchetée Salamandra salamandra. Annales des Sciences Naturelles - Zoologie et Biologie Animale 12: 301-366"
203,"Buckley, D., M. Alcobendas, M. Garcia-Paris and M.H. Wake. 2007. Heterochrony, cannibalism, and the evolution of viviparity in Salamandra salamandra. Evolution and Development 9: 105-115"
204,"Catenazzi, A. 1998. Ecologie dʼune population de Salamandre tachetée au Sud des Alpes. 106pp. France"
205,"Schmidt, B.R., M. Schaub and S. Steinfartz. 2007. Apparent survival of the salamander Salamandra salamandra is low because of high migratory activity. Frontiers in Zoology 4: 19"
206,"Rebelo, R. and M.H. Leclair. 2003. Site tenacity in the terrestrial salamandrid Salamandra salamandra. Journal of Herpetology 37: 440-445"
207,"Angelini, C., D. Cari and C. Utzeri. 2006. Records of Salamandrina perspicillata (Savi, 1821) in the Colli Albani (Latium, central Italy), with some ecological notes (Urodela, Salamandridae). Acta Herpetologica 1: 53-60"
208,"Bovero, S., C. Angelini and C. Utzeri. 2006. Aging Salamandrina perspicillata (Savi, 1821) by skeletochronology. Acta Herpetologica 1, 153-158"
209,"Romano, A. and G.F. Ficetola. 2010. Ecogeographic variation of body size in the spectacled salamanders (Salamandrina): influence of genetic structure and local factors. Journal of Biogeography 37: 2358-2370"
210,"Romano, A. and F.J. Diego-Rasilla. 2008. Capacità di homing in Salamandrina perspicillata (Savi, 1821) tramite fotorecettori extaoculari. Pages 252-253. In C. Corti, editors. Herpetologia Sardiniae. Edizioni Belvedere, Latina, Italy"
211,"Salvidio, S. 2006. Demographic variability in two populations of the European plethodontid salamander Speleomantes strinatii. Pages 129-132. In: W. Böhme, W. Bischoff and T. Ziegler T., editors. Herpetologia Bonnensis [Proceedings of the 8th Ordinary General Meeting of the Societas Europaea Herpetologica, 23-27 August 1995, Bonn, Germany]; Societas Europaea Herpetologica; 416 pp. Bonn, Germany"
212,"Andreone, F. and C. Giacoma. 1989. Breeding dynamics of Triturus carnifex at a pond in northwestern Italy (Amphibia, Urodela, Salamandridae). Holarctic Ecology 12: 219-223"
213,"Cvetković, D., M.L. Kalezić, A. Djorović and G. Džukić. 1996. The crested newt (Triturus carnifex) in the Submediterranean: Reproductive biology, body size, and age. Italian Journal of Zoology 63: 107-111"
214,"Schabetsberger, R., R. Jehle, A. Maletzky, J. Pesta and M. Sztatecny. 2004. Delineation of terrestrial reserves for amphibians: post-breeding migrations of Italian crested newts (Triturus c. carnifex) at high altitude. Biological Conservation 117: 95-104"
215,"Arntzen, J.W. and G.P. Wallis. 1991. Restricted gene flow in a moving hybrid zone of newts (Triturus cristatus and T. marmoratus) in western France. Evolution 45: 805-826"
216,"Francillon-Vieillot, H., J.W. Arntzen and J. Geraudie. 1990. Age, growth and longevity of sympatric Triturus cristatus, Triturus marmoratus and their hybrids (Amphibia, Urodela). A skeletochronological study. Journal of Herpetology 24, 13-22"
217,"Jehle, R. and J.W. Arntzen. 2000. Post-breeding migrations of newts (Triturus cristatus, T. marmoratus) with contrasting ecological requirements. Journal of Zoology 251: 297-306"
218,"Kupfer, A. 1998. Wanderstrecken einzelner Kammolche (Triturus cristatus) in einem Agrarlebensraum. Zeitschrift für Feldherpetology 5: 238-242"
219,"Kupfer, A. and S. Kneitz. 2000. Population ecology of the great crested newt (Triturus cristatus) in an agricultural landscape: dynamics, pond fidelity and dispersal. Herpetological Journal 10: 165-172"
220,"Cogalniceanu, D. and C. Miaud. 2002. Age, Survival and Growth in Triturus dobrogicus (Amphibia, Urodela) from the Lower Danube Floodplain. International Association Danube Research 34: 777-783"
221,"Olgun, K., N. Uzum, A. Avci and C. Miaud. 2005. Age, size and growth of the Southern Crested Newt Triturus karelinii (Strauch, 1870) in a population from Bozdag (Western Turkey). Amphibia-Reptilia 26: 223-230"
222,"Çiçek, K., D. Ayaz and H.S. Mutlu. 2010. Data on morphology of Southern Crested Newt, Triturus karelinii (Strauch, 1870) (Caudata: Salamandridae) in Uludağ (Bursa, Turkey). Biharean Biologist 4: 103-107"
223,"Arntzen, J.W., T. Papenfuss, S. Kuzmin, D. Tarkhnishvili, V. Ishchenko, B. Tuniyev, M. Sparreboom, N. Rastegar-Pouyani, I.U. Ugurtas, S. Anderson, W. Babik, C. Miaud and J.I. Crnobrnja. 2008. Triturus karelinii. IUCN 2010. IUCN Red List of Threatened Species. Version 2010.4. Available from www.iucnredlist.org (accessed Oct 2010)"
224,"Jakob, C., C. Miaud, A.J. Crivelli and M. Veith. 2004. How to cope with periods of drought? Age at maturity, longevity and growth of marbled newts (Triturus marmoratus) in temporary Mediterranean ponds. Canadian Journal of Zoology 81: 1905-1911"
225,"Montori, A. 2010. Tritón jaspeado – Triturus marmoratus. En: Enciclopedia Virtual de los Vertebrados Españoles. Museo Nacional de Ciencias Naturales, Madrid. Available from http://www.vertebradosibericos.org/ (accessed Oct 2010)"
226,"Diaz-Paniagua, C., J.A. Mateo and A.C. Andreu. 1996. Age and size structure of populations of small marbled newts (Triturus marmoratus pygmaeus) from Donana National Park (SW Spain). A case of dwarfism among dwarfs. Journal of Zoology 239: 83-92"
227,"Reques, R. 2009. Tritón pigmeo – Triturus pygmaeus. En: Enciclopedia Virtual de los Vertebrados Españoles. Museo Nacional de Ciencias Naturales, Madrid. Available from http://www.vertebradosibericos.org/ (accessed Oct 2010)"
228,"Holbrook, J.E. 1836. North American herpetology, or, a description of the reptiles inhabiting the United States vol. 1. Philadelphia, USA. 120pp."
229,"Hamilton, W.J. Jr. 1934. The rate of growth of the toad (Bufo americanus americanus Holbrook) under natural conditions. Copeia 1934:88-90."
230,"Hurter, J. 1911. Herpetology of Missouri. American Museum of Natural History Library. St Louis, Missouri, USA. 274p."
231,"Berven, K.A., Grudzien, T.A. 1990. Dispersal in the wood frog (Rana sylvatica): implications for genetic population structure. Evolution 44: 2047-2056."
232,United States Environmental Protection Agency. 2000. Species profiles: Woof Frog (Rana sylvatica). 8pp
