"catalogNumber","traitID","taxonID","stageID","observationNumber","scientificName","traitName","traitValue","traitUnit","valueType","lifeStage","assocTemperature","dispersionSD","individualCount","sizeType","sizeAssocName","sizeAssocUnit","sizeAssocValue","sizeAssocSD","sizeAssocN","sizeAssocReference","verbatimLocality","decimalLongitude","decimalLatitude","notes","primaryReference","secondaryReference","primaryReferenceDOI","secondaryReferenceDOI","acceptedNameUsageID","acceptedNameUsage","taxonRank","kingdom","phylum","class","order","family","genus","majorgroup","basisOfRecord","basisOfRecordDescription","uploadBy","uploadDate","maxObsNum","verbatimScientificName","verbatimTraitName","verbatimTraitValue","verbatimTraitUnit","verbatimLifeStage","verbatimTemperature","verbatimNotes","aggregateMeasure","isDerived","catalogSource","errorRisk","errorRiskRank"
"54-3246-1",54,3246,0,1,"Hybocodon prolifer","lipidPWW","0.6681","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Percy1981","MachovskyCapuska2020","10.14430/arctic2533","10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:117988","Hybocodon prolifer Agassiz, 1860","Species","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Tubulariidae","Hybocodon","Hydromedusae","literature",NA,"P. Pata","2023-08-15",1,"Hybocodon prolifer","lipid_pww_Mean","0.6681","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"54-2595-1",54,2595,0,1,"Beroe gracilis","lipidPWW","1.64936","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Hoeger1983","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:106361","Beroe gracilis Künne, 1939","Species","Animalia","Ctenophora","Nuda","Beroida","Beroidae","Beroe","Ctenophore","literature",NA,"P. Pata","2023-08-15",1,"Beroe gracilis","lipid_pww_Mean","1.64936","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"54-2602-1",54,2602,0,1,"Bolinopsis infundibulum","lipidPWW","0.25146","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Hoeger1983","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:106393","Bolinopsis infundibulum (O.F. Müller, 1776)","Species","Animalia","Ctenophora","Tentaculata","Lobata","Bolinopsidae","Bolinopsis","Ctenophore","literature",NA,"P. Pata","2023-08-15",1,"Bolinopsis infundibulum","lipid_pww_Mean","0.25146","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"54-2661-1",54,2661,0,1,"Pleurobrachia pileus","lipidPWW","0.6715","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Hoeger1983","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:106386","Pleurobrachia pileus (O. F. Müller, 1776)","Species","Animalia","Ctenophora","Tentaculata","Cydippida","Pleurobrachiidae","Pleurobrachia","Ctenophore","literature",NA,"P. Pata","2023-08-15",1,"Pleurobrachia pileus","lipid_pww_Mean","0.6715","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"54-5237-1",54,5237,0,1,"Salpa thompsoni","lipidPWW","0.1","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Donnelly19941994","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:266545","Salpa thompsoni Foxton, 1961","Species","Animalia","Chordata","Thaliacea","Salpida","Salpidae","Salpa","Thaliacean","literature",NA,"P. Pata","2023-08-15",1,"Salpa thompsoni","lipid_pww_Mean","0.1","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-969-1",67,969,0,1,"Euaugaptilus laticeps","ratioProteinLipid","1.15","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Donnelly19941994","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:104397","Euaugaptilus laticeps (Sars G.O., 1905)","Species","Animalia","Arthropoda","Copepoda","Calanoida","Augaptilidae","Euaugaptilus","Calanoid","literature",NA,"P. Pata","2023-08-15",1,"Euaugaptilis laticeps","PLratio","1.15",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-1051-1",67,1051,0,1,"Euchirella rostromagna","ratioProteinLipid","2.07142857142857","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Donnelly19941994","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:342468","Euchirella rostromagna Wolfenden, 1905","Species","Animalia","Arthropoda","Copepoda","Calanoida","Aetideidae","Euchirella","Calanoid","literature",NA,"P. Pata","2023-08-15",1,"Euchirella rostromagna","PLratio","2.07142857142857",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2901-1",67,2901,0,1,"Pandalus jordani","ratioProteinLipid","11.75","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:515469","Pandalus jordani Rathbun, 1902","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pandalus jordani","PLratio","11.75",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2930-1",67,2930,0,1,"Penaeus penicillatus","ratioProteinLipid","12.6666666666667","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:210373","Penaeus penicillatus Alcock, 1905","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Fenneropenaeus penicillatus","PLratio","12.6666666666667",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2912-1",67,2912,0,1,"Parapenaeus longirostris","ratioProteinLipid","18.1818181818182","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:107109","Parapenaeus longirostris (Lucas, 1846)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Parapenaeus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Parapenaeus longirostris","PLratio","18.1818181818182",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2954-1",67,2954,0,1,"Plesionika martia","ratioProteinLipid","5.46153846153846","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:107661","Plesionika martia (A. Milne-Edwards, 1883)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Plesionika","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Plesionika martia","PLratio","5.46153846153846",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2932-1",67,2932,0,1,"Penaeus vannamei","ratioProteinLipid","10.7894736842105","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:377748","Penaeus vannamei Boone, 1931","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Litopenaeus vannamei","PLratio","10.7894736842105",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2931-1",67,2931,0,1,"Penaeus stylirostris","ratioProteinLipid","20.5","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:584982","Penaeus stylirostris Stimpson, 1871","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Litopenaeus stylirostris ","PLratio","20.5",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2846-1",67,2846,0,1,"Necora puber","ratioProteinLipid","11.4","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Spitz2010","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:107398","Necora puber (Linnaeus, 1767)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Polybiidae","Necora","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Necora puber","PLratio","11.4",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2960-1",67,2960,0,1,"Polybius henslowii","ratioProteinLipid","10.0714285714286","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Spitz2010","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:107399","Polybius henslowii Leach, 1820","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Polybiidae","Polybius","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Polybius henslowii","PLratio","10.0714285714286",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2968-1",67,2968,0,1,"Portunus pelagicus","ratioProteinLipid","19.3333333333333","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:1061754","Portunus pelagicus (Linnaeus, 1758)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Portunus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Portunus pelagicus","PLratio","19.3333333333333",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2980-1",67,2980,0,1,"Scylla serrata","ratioProteinLipid","87.5","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:208814","Scylla serrata (Forskål, 1775)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Scylla","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Scylla serrata","PLratio","87.5",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2839-1",67,2839,0,1,"Metacarcinus magister","ratioProteinLipid","19.3333333333333","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:440388","Metacarcinus magister (Dana, 1852)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Metacarcinus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Cancer magister","PLratio","19.3333333333333",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2722-1",67,2722,0,1,"Chaceon quinquedens","ratioProteinLipid","16.7777777777778","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:158407","Chaceon quinquedens (Smith, 1879)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Geryonidae","Chaceon","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Geryon quinquedens ","PLratio","16.7777777777778",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2957-1",67,2957,0,1,"Pleuroncodes planipes","ratioProteinLipid","5.125","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:392683","Pleuroncodes planipes Stimpson, 1860","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Munididae","Pleuroncodes","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pleuroncodes planipes","PLratio","5.125",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2725-1",67,2725,0,1,"Chionoecetes bairdi","ratioProteinLipid","11.75","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:368558","Chionoecetes bairdi Rathbun, 1924","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Oregoniidae","Chionoecetes","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Chionoecetes bairdi","PLratio","11.75",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2693-1",67,2693,0,1,"Acanthephyra purpurea","ratioProteinLipid","3.72093023255814","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Spitz2010","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:107582","Acanthephyra purpurea A. Milne-Edwards, 1881","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Acanthephyridae","Acanthephyra","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Acanthephyra purpurea","PLratio","3.72093023255814",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2922-1",67,2922,0,1,"Pasiphaea sivado","ratioProteinLipid","35.2","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Spitz2010","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:107677","Pasiphaea sivado (Risso, 1816)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pasiphaeidae","Pasiphaea","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pasiphaea sivado","PLratio","35.2",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2868-1",67,2868,0,1,"Pachygrapsus marmoratus","ratioProteinLipid","19.9","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Spitz2010","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:107455","Pachygrapsus marmoratus (Fabricius, 1787)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Grapsidae","Pachygrapsus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Pachygrapsus marmoratus","PLratio","19.9",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2888-1",67,2888,0,1,"Palaemon longirostris","ratioProteinLipid","7.66666666666667","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Spitz2010","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:107615","Palaemon longirostris H. Milne Edwards, 1837","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Palaemon","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Palaeomon longirostris","PLratio","7.66666666666667",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2802-1",67,2802,0,1,"Homarus gammarus","ratioProteinLipid","61","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:107253","Homarus gammarus (Linnaeus, 1758)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Homarus gammarus","PLratio","61",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2801-1",67,2801,0,1,"Homarus americanus","ratioProteinLipid","24.4285714285714","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:156134","Homarus americanus H. Milne Edwards, 1837","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Homarus americanus","PLratio","24.4285714285714",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2820-1",67,2820,0,1,"Linuparus somniosus","ratioProteinLipid","24.6","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:210644","Linuparus somniosus Berry & George, 1972","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Palinuridae","Linuparus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Linuparus somniosus","PLratio","24.6",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-3032-1",67,3032,0,1,"Meganyctiphanes norvegica","ratioProteinLipid","13.1666666666667","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Spitz2010","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:110690","Meganyctiphanes norvegica (M. Sars, 1857)","Species","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Meganyctiphanes","Euphausiid","literature",NA,"P. Pata","2023-08-15",1,"Meganyctiphanes norvegica","PLratio","13.1666666666667",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-6193-1",67,6193,0,1,"Conchoecia antipoda","ratioProteinLipid","1.93333333333333","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Donnelly19941994","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411",NA,NA,"Species","Animalia","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Conchoecia","Ostracod","literature",NA,"P. Pata","2023-08-15",1,"Conchoecia antipoda","PLratio","1.93333333333333",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-6195-1",67,6195,0,1,"Conchoecia belgicae","ratioProteinLipid","3.2","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Donnelly19941994","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411",NA,NA,"Species","Animalia","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Conchoecia","Ostracod","literature",NA,"P. Pata","2023-08-15",1,"Conchoecia belgicae","PLratio","3.2",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-6196-1",67,6196,0,1,"Conchoecia hettacra","ratioProteinLipid","3.1","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Donnelly19941994","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411",NA,NA,"Species","Animalia","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Conchoecia","Ostracod","literature",NA,"P. Pata","2023-08-15",1,"Conchoecia hettacra","PLratio","3.1",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-4774-1",67,4774,0,1,"Vanadis antarctica","ratioProteinLipid","3.5625","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Donnelly19941994","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:335010","Vanadis antarctica (McIntosh, 1885)","Species","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Vanadis","Polychaete","literature",NA,"P. Pata","2023-08-15",1,"Vanadis antarctica","PLratio","3.5625",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2569-1",67,2569,0,1,"Solidosagitta marri","ratioProteinLipid","2.8","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Donnelly19941994","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:266854","Solidosagitta marri (David, 1956)","Species","Animalia","Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","Solidosagitta","Chaetognath","literature",NA,"P. Pata","2023-08-15",1,"Sagitta marri","PLratio","2.8",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-3117-1",67,3117,0,1,"Bougainvillia superciliaris","ratioProteinLipid","1.13235294117647","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Percy1981","MachovskyCapuska2020","10.14430/arctic2533","10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:117333","Bougainvillia superciliaris (L. Agassiz, 1849)","Species","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Bougainvilliidae","Bougainvillia","Hydromedusae","literature",NA,"P. Pata","2023-08-15",1,"Boungainvillia superciliaris","PLratio","1.13235294117647",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-3394-1",67,3394,0,1,"Sarsia princeps","ratioProteinLipid","1.85897435897436","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Percy1981","MachovskyCapuska2020","10.14430/arctic2533","10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:117487","Sarsia princeps (Haeckel, 1879)","Species","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Corynidae","Sarsia","Hydromedusae","literature",NA,"P. Pata","2023-08-15",1,"Sarsia princeps","PLratio","1.85897435897436",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-3237-1",67,3237,0,1,"Halitholus cirratus","ratioProteinLipid","2.26086956521739","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Percy1981","MachovskyCapuska2020","10.14430/arctic2533","10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:157951","Halitholus cirratus Hartlaub, 1913","Species","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Pandeidae","Halitholus","Hydromedusae","literature",NA,"P. Pata","2023-08-15",1,"Halitholus cirratus","PLratio","2.26086956521739",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-3079-1",67,3079,0,1,"Aglantha digitale","ratioProteinLipid","3.6","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Percy1981","MachovskyCapuska2020","10.14430/arctic2533","10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:117849","Aglantha digitale (O. F. Müller, 1776)","Species","Animalia","Cnidaria","Hydrozoa","Trachymedusae","Rhopalonematidae","Aglantha","Hydromedusae","literature",NA,"P. Pata","2023-08-15",1,"Aglantha digitale","PLratio","3.6",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-4987-1",67,4987,0,1,"Stomolophus meleagris","ratioProteinLipid","29.2","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Hsieh2001","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:291140","Stomolophus meleagris Agassiz, 1860","Species","Animalia","Cnidaria","Scyphozoa","Rhizostomeae","Stomolophidae","Stomolophus","Scyphomedusae","literature",NA,"P. Pata","2023-08-15",1,"Stomolophus meleagris","PLratio","29.2",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-3246-1",67,3246,0,1,"Hybocodon prolifer","ratioProteinLipid","1.75572519083969","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Percy1981","MachovskyCapuska2020","10.14430/arctic2533","10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:117988","Hybocodon prolifer Agassiz, 1860","Species","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Tubulariidae","Hybocodon","Hydromedusae","literature",NA,"P. Pata","2023-08-15",1,"Hybocodon prolifer","PLratio","1.75572519083969",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2595-1",67,2595,0,1,"Beroe gracilis","ratioProteinLipid","1.14622641509434","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Hoeger1983","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:106361","Beroe gracilis Künne, 1939","Species","Animalia","Ctenophora","Nuda","Beroida","Beroidae","Beroe","Ctenophore","literature",NA,"P. Pata","2023-08-15",1,"Beroe gracilis","PLratio","1.14622641509434",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2602-1",67,2602,0,1,"Bolinopsis infundibulum","ratioProteinLipid","2.75757575757576","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Hoeger1983","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:106393","Bolinopsis infundibulum (O.F. Müller, 1776)","Species","Animalia","Ctenophora","Tentaculata","Lobata","Bolinopsidae","Bolinopsis","Ctenophore","literature",NA,"P. Pata","2023-08-15",1,"Bolinopsis infundibulum","PLratio","2.75757575757576",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-2661-1",67,2661,0,1,"Pleurobrachia pileus","ratioProteinLipid","1.8","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Hoeger1983","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:106386","Pleurobrachia pileus (O. F. Müller, 1776)","Species","Animalia","Ctenophora","Tentaculata","Cydippida","Pleurobrachiidae","Pleurobrachia","Ctenophore","literature",NA,"P. Pata","2023-08-15",1,"Pleurobrachia pileus","PLratio","1.8",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"67-5237-1",67,5237,0,1,"Salpa thompsoni","ratioProteinLipid","1","unitless","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Donnelly19941994","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:266545","Salpa thompsoni Foxton, 1961","Species","Animalia","Chordata","Thaliacea","Salpida","Salpidae","Salpa","Thaliacean","literature",NA,"P. Pata","2023-08-15",1,"Salpa thompsoni","PLratio","1",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
