species,subclass,taxonomic group,locomotion mode,thermoregulation,body mass [kg],mass.ref,max. speed [km/h],speed_ref,primary diet
Tamiasciurus hudsonicus,NA,mammal,running,endotherm,0.22,44,14.62,44,herbivore
Tamiasciurus hudsonicus,NA,mammal,running,endotherm,0.22,7,14.62,7,herbivore
Tapirus terrestris,NA,mammal,running,endotherm,172.98,16,39.99,16,herbivore
Taurotragus derbianus,NA,mammal,running,endotherm,680.77,16,69.98,16,herbivore
Taurotragus oryx,NA,mammal,running,endotherm,559.76,16,69.98,16,herbivore
Taurotragus oryx,NA,mammal,running,endotherm,511,7,68.17,7,herbivore
Tayassu pecari,NA,mammal,running,endotherm,33.04,16,34.99,16,omnivore
Urocitellus beldingi,NA,mammal,running,endotherm,0.3,44,12.61,44,herbivore
Urocyon cinereoargenteus,NA,mammal,running,endotherm,5.8,101,67.6,101,omnivore
Urocyon cinereoargenteus,NA,mammal,running,endotherm,3.7,44,62.21,44,omnivore
Urocyon cineroargenteus,NA,mammal,running,endotherm,3.8,16,41.98,16,omnivore
Uromys caudimaculatus,NA,mammal,running,endotherm,1.18,44,16.16,44,omnivore
Ursus americanus,NA,mammal,running,endotherm,104.95,16,47.97,16,carnivore
Ursus americanus,NA,mammal,running,endotherm,93.4,44,46.63,44,carnivore
Ursus arctos,NA,mammal,running,endotherm,250,101,35,101,carnivore
Ursus arctos,NA,mammal,running,endotherm,251.3,7,46.66,7,carnivore
Ursus arctos horribilis,NA,mammal,running,endotherm,154.88,16,47.97,16,carnivore
Ursus maritimus,NA,mammal,running,endotherm,174.98,16,50,16,carnivore
Ursus maritimus,NA,mammal,running,endotherm,650,101,30,101,carnivore
Ursus maritimus,NA,mammal,running,endotherm,265,7,38.92,7,carnivore
Vicugna vicugna,NA,mammal,running,endotherm,44.98,16,46.99,16,herbivore
Vulpes vulpes,NA,mammal,running,endotherm,5.5,16,47.97,16,carnivore
Vulpes vulpes,NA,mammal,running,endotherm,4.8,44,70.03,44,carnivore
Vulpes vulpes,NA,mammal,running,endotherm,4.59,11,72,11,carnivore
Zapus hudsonicus,NA,mammal,running,endotherm,0.018,44,8.65,44,omnivore
Zapus trinotatus,NA,mammal,running,endotherm,0.0285,44,13.84,44,omnivore
Zyzomys argurus,NA,mammal,running,endotherm,0.0605,44,12.05,44,omnivore
Acanthodactylus erythrurus,NA,reptile,running,ectotherm,0.0089,80,11.27,80,carnivore
Acanthodactylus pardalis,NA,reptile,running,ectotherm,0.0067,80,9.42,80,carnivore
Acanthodactylus scutellatus,NA,reptile,running,ectotherm,0.00784,27,11.95,27,carnivore
Acanthodactylus scutellatus,NA,reptile,running,ectotherm,0.0081,80,10.06,80,carnivore
Amblyrhynchus cristatus,NA,reptile,running,ectotherm,0.0718,80,10.08,80,herbivore
Anolis carolinensis,NA,reptile,running,ectotherm,0.006,80,4.32,80,carnivore
Anolis cristatellus,NA,reptile,running,ectotherm,0.0081,80,7.76,80,carnivore
Anolis evermanni,NA,reptile,running,ectotherm,0.0056,80,6.57,80,carnivore
Anolis frenatus,NA,reptile,running,ectotherm,0.0427,80,9.78,80,carnivore
Anolis gundlachi,NA,reptile,running,ectotherm,0.0071,80,7.76,80,carnivore
Anolis humilis,NA,reptile,running,ectotherm,0.001,80,4.18,80,carnivore
Anolis krugi,NA,reptile,running,ectotherm,0.0024,80,6.43,80,carnivore
Anolis lemurinus,NA,reptile,running,ectotherm,0.0036,80,5.33,80,carnivore
Anolis limifrons,NA,reptile,running,ectotherm,9.00E-04,80,4.75,80,carnivore
Anolis lineatopus,NA,reptile,running,ectotherm,0.0046,80,7.32,80,carnivore
Anolis poncensis,NA,reptile,running,ectotherm,0.0016,80,6.34,80,carnivore
Anolis pulchellus,NA,reptile,running,ectotherm,0.0015,80,6.12,80,carnivore
Anolis sagrei,NA,reptile,running,ectotherm,0.0029,80,6.52,80,carnivore
Anolis stratulus,NA,reptile,running,ectotherm,0.0019,80,5.36,80,carnivore
Aspidoscelis tigris,NA,reptile,running,ectotherm,0.01142,27,15.37,27,carnivore
Callisaurus draconoides,NA,reptile,running,ectotherm,0.0982,11,25.92,11,carnivore
Callisaurus draconoides,NA,reptile,running,ectotherm,0.01193,27,17.32,27,carnivore
Carlia fusca,NA,reptile,running,ectotherm,0.00335,27,6.23,27,carnivore
Christinus marmoratus,NA,reptile,running,ectotherm,0.0037,80,3.49,80,carnivore
Cnemidophorus inornatus arizonae,NA,reptile,running,ectotherm,0.0042,80,8.15,80,carnivore
Cnemidophorus inornatus heptagrammus,NA,reptile,running,ectotherm,0.004,80,6.75,80,carnivore
Cnemidophorus sexlineatus,NA,reptile,running,ectotherm,0.2,101,29,101,carnivore
Cnemidophorus tigris marmoratus,NA,reptile,running,ectotherm,0.0179,80,8.64,80,carnivore
Cnemidophorus tigris punctilinealis,NA,reptile,running,ectotherm,0.0112,80,9.53,80,carnivore
Coleonyx brevis,NA,reptile,running,ectotherm,0.0018,80,5.36,80,carnivore
Coleonyx variegatus,NA,reptile,running,ectotherm,0.0044,80,5.51,80,carnivore
Cophosaurus texanus,NA,reptile,running,ectotherm,0.00994,27,13.72,27,carnivore
Crotaphytus collaris,NA,reptile,running,ectotherm,0.04015,27,12.1,27,carnivore
Ctenophorus nuchalis,NA,reptile,running,ectotherm,0.0138,80,9.23,80,omnivore
Ctenotus regius,NA,reptile,running,ectotherm,0.0055,80,3.56,80,carnivore
Ctenotus taeniolatus,NA,reptile,running,ectotherm,0.0045,80,4.25,80,carnivore
Ctenotus uber,NA,reptile,running,ectotherm,0.0054,80,5.94,80,carnivore
Dendroaspis polylepis,NA,reptile,running,ectotherm,1.4,101,23,73,carnivore
Dendroaspis polylepis,NA,reptile,running,ectotherm,1.4,101,32.2,101,carnivore
Dipsosaurus dorsalis,NA,reptile,running,ectotherm,0.398,11,26.28,11,herbivore
Egernia cunninghami,NA,reptile,running,ectotherm,0.268,80,9.69,80,herbivore
Egernia whitii,NA,reptile,running,ectotherm,0.0251,80,3.92,80,omnivore
Elgaria kingii,NA,reptile,running,ectotherm,0.00973,27,4.21,27,carnivore
Eremias lineoocellata,NA,reptile,running,ectotherm,0.0042,80,9.47,80,carnivore
Eremias lugubris,NA,reptile,running,ectotherm,0.004,80,5.69,80,carnivore
Eremias namaquensis,NA,reptile,running,ectotherm,0.0025,80,9.65,80,carnivore
Eremiascincus fasciolatus,NA,reptile,running,ectotherm,0.0125,80,2.99,80,carnivore
Eublepharis macularius,NA,reptile,running,ectotherm,0.0495,80,2.38,80,carnivore
Eulamprus kosciuskoi,NA,reptile,running,ectotherm,0.0083,80,3.74,80,carnivore
Eulamprus quoyi,NA,reptile,running,ectotherm,0.0211,80,5.47,80,carnivore
Eulamprus tympanum,NA,reptile,running,ectotherm,0.0144,80,5.36,80,carnivore
Gallotia atlantica,NA,reptile,running,ectotherm,0.0054,80,6.55,80,omnivore
Gallotia caesaris,NA,reptile,running,ectotherm,0.0098,80,7.74,80,omnivore
Gallotia simonyi,NA,reptile,running,ectotherm,0.23,80,8.28,80,omnivore
Gallotia stehlini,NA,reptile,running,ectotherm,0.208,80,11.34,80,omnivore
Gambelia wislizenii,NA,reptile,running,ectotherm,0.01981,27,11.81,27,omnivore
Gekko gecko,NA,reptile,running,ectotherm,0.0381,80,5.44,80,carnivore
Gonatodes concinnatus,NA,reptile,running,ectotherm,0.0023,80,3.74,80,carnivore
Hemidactylus frenatus,NA,reptile,running,ectotherm,0.0033,80,7.96,80,carnivore
Hemidactylus turcicus,NA,reptile,running,ectotherm,0.0028,80,5.9,80,carnivore
Hemiergis decresiensis,NA,reptile,running,ectotherm,8.00E-04,80,2.3,80,carnivore
Hemiergis peronii,NA,reptile,running,ectotherm,0.0015,80,1.76,80,carnivore
Holbrookia elegans,NA,reptile,running,ectotherm,0.00405,27,10.62,27,carnivore
Lacerta agilis,NA,reptile,running,ectotherm,0.0091,80,6.04,80,carnivore
Lacerta bedriagae,NA,reptile,running,ectotherm,0.0096,80,6.43,80,carnivore
Lacerta monticola,NA,reptile,running,ectotherm,0.0077,80,5.64,80,carnivore
Lacerta schreiberi,NA,reptile,running,ectotherm,0.0212,80,6.43,80,carnivore
Lacerta viridis,NA,reptile,running,ectotherm,0.0284,80,9.64,80,carnivore
Lacerta vivipara,NA,reptile,running,ectotherm,0.0028,80,3.24,80,carnivore
Laudakia stellio,NA,reptile,running,ectotherm,0.04854,27,10.91,27,carnivore
Laudakia stellio,NA,reptile,running,ectotherm,0.0401,80,9.72,80,carnivore
Laudakia stellio,NA,reptile,running,ectotherm,0.0411,80,9,80,carnivore
Laudakia stellio,NA,reptile,running,ectotherm,0.0419,80,8.28,80,carnivore
Laudakia stellio,NA,reptile,running,ectotherm,0.0551,80,8.64,80,carnivore
Leiolepis belliana,NA,reptile,running,ectotherm,0.04,80,7.92,80,omnivore
Lepidodactylus lugubris,NA,reptile,running,ectotherm,0.0011,80,5.54,80,carnivore
Nucras tessellata,NA,reptile,running,ectotherm,0.0047,80,7.38,80,carnivore
Petrosaurus mearnsi,NA,reptile,running,ectotherm,0.0113,80,8.46,80,omnivore
Phrynosoma cornutum,NA,reptile,running,ectotherm,0.03362,27,6.34,27,carnivore
Phrynosoma mcallii,NA,reptile,running,ectotherm,0.01146,27,5.54,27,carnivore
Phrynosoma modestum,NA,reptile,running,ectotherm,0.00595,27,4.5,27,carnivore
Phrynosoma platyrhinos,NA,reptile,running,ectotherm,0.01626,27,5.58,27,carnivore
Plestiodon fasciatus,NA,reptile,running,ectotherm,0.00735,27,6.48,27,carnivore
Plestiodon skiltonianus,NA,reptile,running,ectotherm,0.0052,80,2.74,80,carnivore
Podarcis bocagei,NA,reptile,running,ectotherm,0.0033,80,5.12,80,carnivore
Podarcis hispanica,NA,reptile,running,ectotherm,0.0025,80,7.3,80,carnivore
Podarcis hispanica atrata,NA,reptile,running,ectotherm,0.0076,80,5.5,80,carnivore
Podarcis lilfordi,NA,reptile,running,ectotherm,0.0078,80,8.41,80,carnivore
Podarcis muralis,NA,reptile,running,ectotherm,0.0031,80,7.69,80,carnivore
Podarcis pityusensis,NA,reptile,running,ectotherm,0.0098,80,9.14,80,carnivore
Podarcis sicula,NA,reptile,running,ectotherm,0.00539,27,8.64,27,carnivore
Podarcis sicula,NA,reptile,running,ectotherm,0.0071,80,6.01,80,carnivore
Podarcis tiliguerta,NA,reptile,running,ectotherm,0.0048,80,8.68,80,carnivore
Psammodromus algirus,NA,reptile,running,ectotherm,0.011,80,9.09,80,carnivore
Psammodromus hispanicus,NA,reptile,running,ectotherm,0.0014,80,5.4,80,carnivore
Pseudemoia entrecasteauxii,NA,reptile,running,ectotherm,0.0033,80,3.2,80,carnivore
Pseudemoia entrecasteauxii,NA,reptile,running,ectotherm,0.0047,80,4.25,80,carnivore
Sceloporus clarkii,NA,reptile,running,ectotherm,0.012,80,6.8,80,carnivore
Sceloporus cowlesi,NA,reptile,running,ectotherm,0.00451,27,7.92,27,carnivore
Sceloporus graciosus,NA,reptile,running,ectotherm,0.00703,27,8.35,27,carnivore
Sceloporus jarrovi,NA,reptile,running,ectotherm,0.0153,80,6.23,80,carnivore
Sceloporus magister,NA,reptile,running,ectotherm,0.03101,27,11.2,27,carnivore
Sceloporus merriami,NA,reptile,running,ectotherm,0.0042,80,7.01,80,carnivore
Sceloporus merriami,NA,reptile,running,ectotherm,0.0048,80,7.64,80,carnivore
Sceloporus occidentalis,NA,reptile,running,ectotherm,0.0074,80,6.95,80,carnivore
Sceloporus undulatus,NA,reptile,running,ectotherm,0.0056,80,6.23,80,carnivore
Sceloporus undulatus,NA,reptile,running,ectotherm,0.0059,80,5.83,80,carnivore
Sceloporus undulatus hyacinthus,NA,reptile,running,ectotherm,0.01,80,7.7,80,carnivore
Sceloporus virgatus,NA,reptile,running,ectotherm,0.00523,27,6.34,27,carnivore
Sceloporus woodi,NA,reptile,running,ectotherm,0.0028,80,8.93,80,carnivore
Scincella lateralis,NA,reptile,running,ectotherm,8.00E-04,80,1.37,80,carnivore
Takydromus septentrionalis,NA,reptile,running,ectotherm,0.0055,80,2.92,80,carnivore
Tiliqua scincoides,NA,reptile,running,ectotherm,0.438,80,3.85,80,omnivore
Trachylepis occidentalis,NA,reptile,running,ectotherm,0.0137,80,6.23,80,carnivore
Trachylepis spilogaster,NA,reptile,running,ectotherm,0.0095,80,8.53,80,carnivore
Trachylepis striata,NA,reptile,running,ectotherm,0.0158,80,7.56,80,carnivore
Trachylepis variegata,NA,reptile,running,ectotherm,0.0013,80,4.9,80,carnivore
Trapelus savignyi,NA,reptile,running,ectotherm,0.022,80,9.72,80,carnivore
Uma rufopunctata,NA,reptile,running,ectotherm,0.02967,27,11.92,27,carnivore
Uma scoparia,NA,reptile,running,ectotherm,0.0185,80,8.57,80,carnivore
Urosaurus graciosus,NA,reptile,running,ectotherm,0.0036,80,6.37,80,carnivore
Urosaurus nigricaudus,NA,reptile,running,ectotherm,0.0023,80,6.44,80,carnivore
Urosaurus ornatus,NA,reptile,running,ectotherm,0.00347,27,8.24,27,carnivore
Urosaurus ornatus,NA,reptile,running,ectotherm,0.0035,80,7.6,80,carnivore
Uta stansburiana,NA,reptile,running,ectotherm,0.00383,27,7.81,27,carnivore
Uta stansburiana,NA,reptile,running,ectotherm,0.003,80,6.66,80,carnivore
Varanus acanthurus,NA,reptile,running,ectotherm,0.0589,18,10.98,18,carnivore
Varanus brevicauda,NA,reptile,running,ectotherm,0.0206,18,5.72,18,carnivore
Varanus caudolineatus,NA,reptile,running,ectotherm,0.0181,18,8.42,18,carnivore
Varanus eremius,NA,reptile,running,ectotherm,0.0485,18,13.36,18,carnivore
Varanus giganteus,NA,reptile,running,ectotherm,2.9667,18,31.57,18,carnivore
Varanus gilleni,NA,reptile,running,ectotherm,0.0271,18,8.028,18,carnivore
Varanus glauerti,NA,reptile,running,ectotherm,0.0357,18,11.12,18,carnivore
Varanus gouldii,NA,reptile,running,ectotherm,0.4294,18,20.59,18,carnivore
Varanus kingorum,NA,reptile,running,ectotherm,0.0183,18,9.36,18,carnivore
Varanus mertensi,NA,reptile,running,ectotherm,1.0323,18,12.85,18,carnivore
Varanus mitchelli,NA,reptile,running,ectotherm,0.1513,18,12.35,18,carnivore
Varanus panoptes,NA,reptile,running,ectotherm,2.425,18,21.24,18,carnivore
Varanus pilbarensis,NA,reptile,running,ectotherm,0.0303,18,10.19,18,carnivore
Varanus rosenbergi,NA,reptile,running,ectotherm,1.025,18,18.97,18,carnivore
Varanus scalaris,NA,reptile,running,ectotherm,0.1021,18,9.94,18,carnivore
Varanus storri,NA,reptile,running,ectotherm,0.0269,18,9.18,18,carnivore
Varanus tristis,NA,reptile,running,ectotherm,0.0983,18,14.22,18,carnivore
Varanus varius,NA,reptile,running,ectotherm,7.7,18,14.51,18,carnivore
Euphausia superba,NA,arthropod,swimming,ectotherm,0.002,91,1.66,48,herbivore
Aptenodytes forsteri,NA,bird,swimming,endotherm,29.75,56,10.8,49,carnivore
Aptenodytes patagonicus,NA,bird,swimming,endotherm,14,101,12.1,101,carnivore
Pygoscelis adeliae,NA,bird,swimming,endotherm,3.36,11,13.68,11,carnivore
Pygoscelis antarcticus,NA,bird,swimming,endotherm,4.5,101,32,101,carnivore
Pygoscelis papua,NA,bird,swimming,endotherm,8.2,101,36,101,carnivore
Acanthocybium solandri,NA,fish,swimming,ectotherm,13.31,11,77.4,11,carnivore
Acanthocybium solandri,NA,fish,swimming,ectotherm,16.64,79,77,101,carnivore
Alburnus alburnus,NA,fish,swimming,ectotherm,0.001,5,1.8,5,carnivore
Alosa finita,NA,fish,swimming,ectotherm,0.0297,5,2.7,5,carnivore
Alosa pseudoharengus,NA,fish,swimming,ectotherm,0.27,11,15.84,11,carnivore
Anguilla anguilla,NA,fish,swimming,ectotherm,2.16,8,4.1,8,carnivore
Argyrosomus regius,NA,fish,swimming,ectotherm,0.0295,5,4.07,5,carnivore
Barbatula barbatula,NA,fish,swimming,ectotherm,0.0177,78,3.89,78,carnivore
Carassius auratus,NA,fish,swimming,ectotherm,0.00343,11,2.7,11,carnivore
Carassius auratus,NA,fish,swimming,ectotherm,0.02,8,10.8,8,carnivore
Carassius auratus,NA,fish,swimming,ectotherm,0.276,6,7.2,6,carnivore
Carassius leucas,NA,fish,swimming,ectotherm,9.53,5,14.59,5,carnivore
Carassius leucas,NA,fish,swimming,ectotherm,40.07,5,18.76,5,carnivore
Carcharodon carcharias,NA,fish,swimming,ectotherm,800,101,40,101,carnivore
Clupea harengus,NA,fish,swimming,ectotherm,0.15625,8,6.12,8,carnivore
Clupea harengus,NA,fish,swimming,ectotherm,7.57E-05,90,0.5004,90,carnivore
Clupea harengus,NA,fish,swimming,ectotherm,1.30E-04,90,0.5472,90,carnivore
Cottus gobio,NA,fish,swimming,ectotherm,0.019,78,4.032,78,carnivore
Cottus gobio,NA,fish,swimming,ectotherm,0.0688,78,4.92,78,carnivore
Cyprinus carpio,NA,fish,swimming,ectotherm,0.0483,78,3.72,78,omnivore
Cyprinus carpio,NA,fish,swimming,ectotherm,0.3277,78,4.83,78,omnivore
Cyprinus carpio,NA,fish,swimming,ectotherm,0.0055,5,2,5,omnivore
Cyprinus carpio,NA,fish,swimming,ectotherm,0.087,5,6.12,5,omnivore
Esox lucius,NA,fish,swimming,ectotherm,0.145,5,7.56,5,carnivore
Esox lucius,NA,fish,swimming,ectotherm,1.18,5,5.33,5,carnivore
Gadus morhua,NA,fish,swimming,ectotherm,1.76,8,7.56,8,carnivore
Gadus morhua,NA,fish,swimming,ectotherm,2.18E-05,90,0.288,90,carnivore
Galeocerdo cuvier,NA,fish,swimming,ectotherm,550,101,32,101,carnivore
Helicolenus dactylopterus,NA,fish,swimming,ectotherm,0.493,5,3.53,5,carnivore
Istiompax indica,NA,fish,swimming,ectotherm,150,10,130,10,carnivore
Istiophorus albicans,NA,fish,swimming,ectotherm,90,101,110,101,carnivore
Istiophorus albicans,NA,fish,swimming,ectotherm,90,101,108,10,carnivore
Isurus oxyrinchus,NA,fish,swimming,ectotherm,105,101,67.68,103,carnivore
Isurus oxyrinchus,NA,fish,swimming,ectotherm,300,101,50,101,carnivore
Leuciscus leuciscus,NA,fish,swimming,ectotherm,0.01,11,4.68,11,herbivore
Leuciscus leuciscus,NA,fish,swimming,ectotherm,0.03375,11,6.3,11,herbivore
Leuciscus leuciscus,NA,fish,swimming,ectotherm,0.08,11,7.92,11,herbivore
Leuciscus leuciscus,NA,fish,swimming,ectotherm,0.279,6,8.64,6,herbivore
Leuciscus leuciscus,NA,fish,swimming,ectotherm,0.184,5,6.12,5,herbivore
Makaira nigricans,NA,fish,swimming,ectotherm,153.5,95,75,10,carnivore
Melanogrammus aeglefinus,NA,fish,swimming,ectotherm,0.741,8,6.48,8,carnivore
Merlangius merlangus,NA,fish,swimming,ectotherm,0.08,8,5.76,8,carnivore
Merluccius merluccius,NA,fish,swimming,ectotherm,0.0237,5,2.84,5,carnivore
Micropterus salmoides,NA,fish,swimming,ectotherm,0.276,5,3.17,5,carnivore
Mugil cephalus,NA,fish,swimming,ectotherm,0.026,5,2.2,5,omnivore
Perca fluviatilis,NA,fish,swimming,ectotherm,0.0184,5,2.38,5,carnivore
Platichthys flesus,NA,fish,swimming,ectotherm,1.21E-05,90,0.234,90,carnivore
Pleuronectes platessa,NA,fish,swimming,ectotherm,3.57E-04,11,0.2304,11,carnivore
Pleuronectes platessa,NA,fish,swimming,ectotherm,5.71E-04,11,0.4104,11,carnivore
Pleuronectes platessa,NA,fish,swimming,ectotherm,0.15625,8,4.64,8,carnivore
Pollachius virens,NA,fish,swimming,ectotherm,0.266,8,7.2,8,carnivore
Rutilus rutilus,NA,fish,swimming,ectotherm,0.0057,78,2.34,78,omnivore
Rutilus rutilus,NA,fish,swimming,ectotherm,0.1275,78,5.02,78,omnivore
Salmo irideus,NA,fish,swimming,ectotherm,0.551,6,9.72,6,carnivore
Salmo irideus,NA,fish,swimming,ectotherm,0.235,5,6.12,5,carnivore
Salmo salar,NA,fish,swimming,ectotherm,0.0023,5,0.472,5,carnivore
Salmo salar,NA,fish,swimming,ectotherm,0.0048,5,0.601,5,carnivore
Salmo salar,NA,fish,swimming,ectotherm,0.0078,5,0.778,5,carnivore
Salmo salar,NA,fish,swimming,ectotherm,6.66,5,21.6,5,carnivore
Salmo salar,NA,fish,swimming,ectotherm,7.85,5,17.532,5,carnivore
Salmo trutta,NA,fish,swimming,ectotherm,0.12167,8,8.424,8,carnivore
Salmo trutta,NA,fish,swimming,ectotherm,0.54872,8,11.52,8,carnivore
Salmo trutta,NA,fish,swimming,ectotherm,0.0341,5,3.312,5,carnivore
Salmo trutta fario,NA,fish,swimming,ectotherm,0.0217,78,4.54,78,carnivore
Salmo trutta fario,NA,fish,swimming,ectotherm,0.969,5,12.6,5,carnivore
Scardinius erythrophthalmus,NA,fish,swimming,ectotherm,0.0188,5,4.104,5,omnivore
Scardinius erythrophthalmus,NA,fish,swimming,ectotherm,0.299,5,4.68,5,omnivore
Scomber scombrus,NA,fish,swimming,ectotherm,0.54872,8,5.72,8,carnivore
Scomber scombrus,NA,fish,swimming,ectotherm,0.0252,5,2.92,5,carnivore
Sphyraena argentea,NA,fish,swimming,ectotherm,4.5,101,44,101,carnivore
Sphyraena barracuda,NA,fish,swimming,ectotherm,26.56,5,43.89,5,carnivore
Squalinus cephalus,NA,fish,swimming,ectotherm,0.0015,5,0.864,5,omnivore
Tetrapturus audax,NA,fish,swimming,ectotherm,163,101,81,101,carnivore
Thunnus albacares,NA,fish,swimming,ectotherm,9.41,11,74.88,11,carnivore
Thunnus albacares,NA,fish,swimming,ectotherm,13.11,82,75,82,carnivore
Thunnus orientalis,NA,fish,swimming,ectotherm,250,101,70,101,carnivore
Thunnus thynnus,NA,fish,swimming,ectotherm,27.22,5,70.81,5,carnivore
Trachinus vipera,NA,fish,swimming,ectotherm,0.0224,5,1.44,5,carnivore
Trigla sp,NA,fish,swimming,ectotherm,0.21,5,4.72,5,carnivore
Trisopterus luscus,NA,fish,swimming,ectotherm,0.0165,5,1.98,5,carnivore
Xiphias gladius,NA,fish,swimming,ectotherm,98,101,97,101,carnivore
Balaenoptera musculus,NA,mammal,swimming,endotherm,108400,11,37.08,11,carnivore
Delphinapterus leucas,NA,mammal,swimming,endotherm,1380,56,22,59,carnivore
Delphinus delphis,NA,mammal,swimming,endotherm,118,68,28.8,68,carnivore
Delphinus delphis,NA,mammal,swimming,endotherm,95.32,11,37.08,11,carnivore
Enhydra lutris,NA,mammal,swimming,endotherm,30,101,9,101,carnivore
Megaptera novaeangliae,NA,mammal,swimming,endotherm,30000,101,27,101,carnivore
Megaptera novaeangliae,NA,mammal,swimming,endotherm,30000,56,23.3,58,carnivore
Orcinus orca,NA,mammal,swimming,endotherm,4100,101,48,101,carnivore
Orcinus orca,NA,mammal,swimming,endotherm,4300,56,25,63,carnivore
Orcinus orca,NA,mammal,swimming,endotherm,4300,56,55.44,99,carnivore
Physeter catodon,NA,mammal,swimming,endotherm,10100,56,39,84,carnivore
Pseudorca crassidens,NA,mammal,swimming,endotherm,1378.5,68,28.8,68,carnivore
Pusa hispida,NA,mammal,swimming,endotherm,88.07,56,30,100,carnivore
Tursiops truncatus,NA,mammal,swimming,endotherm,250,101,35,101,carnivore
Tursiops truncatus,NA,mammal,swimming,endotherm,250,68,29.5,68,carnivore
Zalophus californianus,NA,mammal,swimming,endotherm,158,56,40,97,carnivore
Aequipecten opercularis,NA,mollusc,swimming,ectotherm,0.0143,50,0.9,72,omnivore
Illex illecebrosus,NA,mollusc,swimming,ectotherm,0.6,61,5.04,61,carnivore
Loligo vulgaris,NA,mollusc,swimming,ectotherm,0.35,72,7.2,72,carnivore
Octopus vulgaris,NA,mollusc,swimming,ectotherm,17,101,40,101,carnivore
Sepia officinalis,NA,mollusc,swimming,ectotherm,0.25,72,2.88,72,carnivore
Dermochelys coriacea,NA,reptile,swimming,ectotherm,420,56,35.28,99,carnivore
