Species,Mass - average - g,Mass - adult - average - g,Mass - adult - female - average - g,Mass - adult - male - average - g,Mass - embryo - average - g,Mass - weanling - average - g,Mass - female - average - g,Mass - male - average - g,"Lifespan (wild, undetermined) - undetermined - average - years",Age at sexual or reproductive maturity (male) - average - years,Age at sexual or reproductive maturity (male) - male - average - years,Age at sexual or reproductive maturity (female) - average - years,Age at sexual or reproductive maturity (female) - female - average - years,Age at sexual or reproductive maturity (female) - male - average - years,"Lifespan (wild, female) - female - average - years",
Caluromys derbianus,307.5,,,,,,,,6.33,0.6667,,0.0111,,,,
Caluromys philander,250,,,,,,,,3.4,,,0.0125,0.0141,,,
Caluromysiops irrupta,445,,,,,,,,,,,,,,,
Calypte anna,4.25,,,,,,,,8.5,1,,0.0167,,,,
Calypte costae,3,,,,,,,,9.17,,,,,,,
Calyptophractus retusus,1000,,,,,,,,13.5,0.75,,,,,,
Camelus bactrianus,475000,,,,,,,,,4,,0.0667,,,,
Camelus dromedarius,495000,,,,,,,,40,6,6.0861,0.05,0.0507,,,
Campephilus principalis,510,,,,,,,,,,,,,,,
Campylopterus hemileucurus,10.5,,,,,,,,,,,,,,,
Cancer irroratus,108.5,,,,,,,,,,,,,,,
Canis adustus,9500,,,,,,,,,,0.7611,,0.0127,,,
Canis aureus,9000,,,,,,,,,,0.9278,,0.0155,,,
Canis latrans,14000,,,,,,,,14.5,0.7917,,0.0132,,,,
Canis lupus,51500,,,,,,,,5,2.5,,0.0417,,,13.7,13.7
Canis lupus dingo,14500,,,,,,,,14.8,1.8333,,0.0306,,,,
Canis lupus familiaris,35500,,,,,,,,29.5,0.75,,0.0125,,,,
Canis mesomelas,7500,,,,,,,,,,0.6972,,0.0143,,,
Canis rufus,23500,,,,,,,,4,,,0.0167,,,,
Canis simensis,15250,,,,,,,,12,,,,,,,
Cannomys badius,2250,,,,,,,,,,,,,,,
Caperea marginata,4500000,,,,,,,,,,,,,,,
Capra caucasica,82500,,,,,,,,,,,,,,,
Capra caucasica cylindricornis,98000,,,,,,,,15,5,,0.0667,,,,
Capra falconeri,71000,,,,,,,,12,3,,0.0333,,,,
Capra hircus,45000,,,,,,,,,0.4167,,0.0167,0.0188,,,
Capra ibex,82500,,,,,,,,14,0.8333,,0.0139,,,,
Capra nubiana,47500,,,,,,,,,4.5,,0.0333,,,,
Capra pyrenaica,57500,,,,,,,,16,2.25,,0.0375,,,,
Capra sibirica,65000,,,,,,,,17,5,,0.0333,,,,
Capra walie,102500,,,,,,,,,1,,0.0167,,,,
Capreolus capreolus,26000,,,,,,,,15,,1.8194,,0.0191,,,
Capricornis crispus,37000,,,,,,,,21,2.75,,0.0458,,,,
Caprimulgus carolinensis,110,,,,,,,,14.83,,,,,,,
Caprimulgus europaeus,71,,,,,,,,11,1,,0.0167,,,,
Caprimulgus vociferus,53.35,,,,,,,,4,1,,0.0167,,,,
Caprolagus hispidus,2500,,,,,,,,,,,,,,,
Capromys pilorides,7000,,,,,,,,,,0.8444,,0.0141,,,
Caracal caracal,13500,,,,,,,,12,0.7083,,0.0118,,,,
Carassius auratus,3000,,,,,,,,41,2,,0.0333,,,,
Carcharhinus albimarginatus,162200,,,,,,,,,,,,,,,
Carcharhinus amblyrhynchos,18535,,,,,,,,25,7.25,,0.1208,,,,
Carcharhinus falciformis,262000,,,,,,,,23,6.5,,0.1333,,,,
Carcharhinus leucas,160000,,,,,,,,13.7,,17.4889,,0.3042,,,
Carcharhinus limbatus,65000,,,,,,,,,,,,0.1183,,,
Carcharhinus longimanus,170000,,,,,,,,22,6.5,,0.1083,,,,
Carcharhinus plumbeus,67500,,,,,,,,20,8.2,,0.1308,,,,
Carcharias taurus,102500,,,,,,,,35,7.5,,0.125,,,,
Carcharodon carcharias,3000000,,,,,,,,30,9.5,,0.25,,,,
Cardinalis cardinalis,45,,,,,,,,15.75,1,,0.0167,,,,
Cardinalis sinuatus,32,,,,,,,,8.08,,,,,,,
Cardioderma cor,28,,,,,,,,,,,,,,,
Cardisoma guanhumi,400,,,,,,,,11,4,,0.0667,,,,
Carduelis tristis,15.5,,,,,,,,0,0.0306,,0.0005,,,,
Caretta caretta,135000,,,,,,,,46,23.5,,0.3917,,,,
Carettochelys insculpta,22500,,,,,,,,,,,,,,,
Carollia perspicillata,15,,,,,,,,,,0.7167,,0.0119,,,
Carpiodes carpio,907.3,,,,,,,,3,2.5,,0.0583,,,,
Carpiodes cyprinus,6180,,,,,,,,11,,,,,,,
Carpodacus mexicanus,20.5,,,,,,,,11.58,1,,0.0167,,,,
Carpodacus purpureus,25,,,,,,,,2,1,,0.0167,,,,
Castor canadensis,22500,,,,,,,,15,3,1.775,0.05,0.0296,,,
Castor fiber,24000,,,,,,,,13.5,3,,0.05,,,,
Casuarius bennetti,18000,,,,,,,,,4,,0.0667,,,,
Casuarius casuarius,44000,,,,,,,,,3,,0.05,,,,
Casuarius unappendiculatus,22500,,,,,,,,40,20,,0.35,,,,
Catagonus wagneri,39000,,,,,,,,,,,,0.0507,,,
Cathartes aura,1430,,,,,,,,10,,,,,,,
Catharus guttatus,27.8,,,,,,,,9.33,,,,,,,
Catharus minimus,24.8,,,,,,,,7.33,,,,,,,
Catoptrophorus semipalmatus,265,,,,,,,,10.25,2,,0.0333,,,,
Catopuma badia,4000,,,,,,,,,,,,,,,
Catopuma temminckii,13500,,,,,,,,,7.5,,0.134,,,,
Catostomus commersonii,400,,,,,,,,17,5.5,,0.0917,,,,
Cavia aperea,637,,,,,,,,3,0.0778,,0.0014,,,,
Cavia intermedia,622.5,,,,,,,,1.01,0.1639,,0.0027,,,,
Cavia porcellus,900,,,,,,,,5,0.175,,0.0031,,,,
Cebus albifrons,2200,,,,,,,,40,,3.6389,,0.0606,,,
Cebus apella,3050,,,,,,,,40,7,,0.0667,0.0788,,,
Cebus capucinus,3000,,,,,,,,30,8,,0.0833,,,,
Cebus olivaceus,2655,,,,,,,,42,0.6667,,0.0069,0.1014,,,
Cebus xanthosternos,3050,,,,,,,,,7,,0.075,,,,
Centrocercus minimus,1712.5,,,,,,,,9,2,,0.0167,,,,
Centrocercus urophasianus,2400,,,,,,,,,,,,,,,
Centropomus undecimalis,23300,,,,,,,,18,,,,,,,
Centurio senex,20.5,,,,,,,,,,,,,,,
Cepaea nemoralis,0.72,,,,,,,,2.3,0.0292,,0.0005,,,,
Cephalophus niger,17500,,,,,,,,11,1.125,,0.0188,,,,
Cephalophus rufilatus,10000,,,,,,,,5,0.75,0.75,0.0125,0.0125,,,
Cephalophus silvicultor,62500,,,,,,,,11,1.25,,0.0146,,,,
Cephalophus zebra,17500,,,,,,,,,,,,,,,
Cephalorhynchus commersonii,50000,,,,,,,,23,7.5,,0.1083,,,,
Cephalorhynchus eutropia,50000,,,,,,,,,7,,0.1167,,,,
Cephalorhynchus heavisidii,67500,,,,,,,,,7.5,,0.1167,,,,
Cephalorhynchus hectori,55000,,,,,,,,20,7.5,,0.1333,,,,
Cepphus grylle,437.5,,,,,,,,13.08,,,,,,,
Ceratotherium simum,2520000,,,,,,,,45,,4.5639,,0.0761,,36,36
Cercartetus caudatus,30,,,,,,,,,,,,0.0213,,,
Cercartetus concinnus,13,,,,,,,,,,,,,,,
Cercartetus nanus,40,,,,,,,,,,0.5278,,0.0088,,,
Cercocebus agilis,9000,,,,,,,,20,4.5,,0.075,,,,
Cercocebus atys,8600,,,,,,,,18,4,,0.0764,,,,
Cercocebus torquatus,9492.5,,,,,,,,30,6,,0.1,,,,
Cercopithecus ascanius,,,,,,,,,30,6,,0.075,,,,
Cercopithecus cephus,4000,,,,,,,,22,4.5,,0.075,,,,
Cercopithecus diana,5500,,,,,,,,20,3,,0.05,0.0908,,,
Cercopithecus hamlyni,7000,,,,,,,,,,,,,,,
Cercopithecus lhoesti,4750,,,,,,,,,,,,,,,
Cercopithecus mitis,5000,,,,,,,,,3,4.6472,0.05,0.0775,,,
Cercopithecus mona,4000,,,,,,,,30,3.5,,0.0583,,,,
Cercopithecus neglectus,5500,,,,,,,,,5.5,,0.0917,,,,
Cercopithecus nictitans,5400,,,,,,,,,,,,,,,
Cercopithecus sclateri,3250,,,,,,,,,,,0.1,,,,
Cercopithecus wolfi,3300,,,,,,,,23,4.5,,0.075,,,,
Cerdocyon thous,6500,,,,,,,,,0.75,0.7611,0.0125,0.0127,,,
Certhia americana,8.55,,,,,,,,4.58,1,,0.0167,,,,
Certhia familiaris,10,,,,,,,,2,1,,0.0167,,,,
Cervus elaphus,154200,,,,,,,,20,1.3333,,0.0222,0.0394,,,
Cervus nippon,42250,,,,,,,,,1.4167,,0.0236,,,,
Ceryle rudis,84.4,,,,,,,,,,,,,,,
Cetorhinus maximus,3900000,,,,,,,,,,8.1111,,0.1943,,,
Chaerephon pumilus,11.1,,,,,,,,,0.4167,,0.0167,,,,
Chaetodipus baileyi,31,,,,,,,,,,,,,,,
Chaetodipus californicus,23,,,,,,,,,,,0.0042,,,,
Chaetodipus fallax,20,,,,,,,,0.42,0.4583,,0.0076,,,,
Chaetodipus formosus,13.75,,,,,,,,5,0.9167,,0.0153,,,,
Chaetodipus hispidus,38.5,,,,,,,,,,,,,,,
Chaetodipus intermedius,15.2,,,,,,,,,,,,,,,
Chaetodipus nelsoni,14.25,,,,,,,,2.08,,,,,,,
Chaetodipus penicillatus,16.5,,,,,,,,1,,,,,,,
Chaetomys subspinosus,1300,,,,,,,,,,,,,,,
Chaetophractus nationi,2150,,,,,,,,14,0.75,,0.0125,,,,
Chaetophractus vellerosus,840,,,,,,,,,,,,,,,
Chaetophractus villosus,2000,,,,,,,,,0.75,0.7583,0.0125,0.0126,,,
Chaetura pelagica,21.33,,,,,,,,14,,,,,,,
Chaetura vauxi,18.5,,,,,,,,5.08,,,,,,,
Chanos chanos,9000,,,,,,,,9,6.5,,0.1083,,,,
Charadrius alexandrinus,46,,,,,,,,11,,,,,,,
Charadrius melodus,57,,,,,,,,14,,,,,,,
Charadrius pecuarius,34,,,,,,,,,1,,0.0167,,,,
Charadrius semipalmatus,45,,,,,,,,9.2,2.5,,0.0417,,,,
Charadrius vociferus,88,,,,,,,,10.92,1,,0.0167,,,,
Cheirogaleus major,388.5,,,,,,,,,,1.0139,0.0167,,,,
Cheirogaleus medius,195,,,,,,,,,2,,0.0333,0.0169,,,
Cheiromeles torquatus,181.5,,,,,,,,,,,,,,,
Chelodina longicollis,602,,,,,,,,34,7.5,,0.1833,,,,
Chelonia mydas,175000,,,,,,,,75,38.5,,0.6417,,,,
Chelonoidis nigra,175000,,,,,,,,,,,,,,,
Chelydra serpentina,10000,,,,,,,,30,,7.35,,0.1521,,,
Chilonatalus micropus,2.5,,,,,,,,,,,,,,,
Chilonatalus tumidifrons,5.5,,,,,,,,,,,,,,,
Chinchilla chinchilla,600,,,,,,,,9,0.6667,,0.0111,,,,
Chinchilla lanigera,650,,,,,,,,10,,0.6667,,0.0111,,,
Chionoecetes opilio,930,,,,,,,,19,7.5,,0.0833,,,,
Chirocentrus dorab,800,,,,,,,,6,0,,0,,,,
Chironectes minimus,697,,,,,,,,,0.8333,,,0.0141,,,
Chironex fleckeri,2000,,,,,,,,,0.1667,,0.0028,,,,
Chiropotes albinasus,2500,,,,,,,,17,4,,0.0667,0.0676,,,
Chiropotes satanas,2900,,,,,,,,,,,,,,,
Chiroxiphia linearis,20,,,,,,,,18,5,,0.0167,,,,
Chlidonias niger,60,,,,,,,,8.42,,,,,,,
Chlorocebus aethiops,4000,,,,,,,,31,,5.0694,,0.0479,,,
Chlorocebus sabaeus,5750,,,,,,,,13,5,,0.0333,,,,
Chlorotalpa sclateri,55,,,,,,,,,,,,,,,
Choeronycteris mexicana,25,,,,,,,,,,,,,,,
Choloepus didactylus,6000,,,,,,,,,,4.5667,,0.0592,,,
Choloepus hoffmanni,6000,,,,,,,,0,4.5,,0.05,0.0338,,,
Chondestes grammacus,29,,,,,,,,7.83,,,,,,,
Chordeiles minor,81.5,,,,,,,,4.5,,,,,,,
Chrotogale owstoni,2500,,,,,,,,,,,,,,,
Chrotopterus auritus,85.5,,,,,,,,,1.5,,0.025,,,,
Chrysaora hysoscella,1300,,,,,,,,1,,,,,,,
Chrysemys picta,57.5,,,,,,,,,4,,0.1333,,,,
Chrysocyon brachyurus,21500,,,,,,,,,,,,0.0338,,,
Chrysospalax trevelyani,539,,,,,,,,,,,,,,,
Ciccaba nigrolineata,485,,,,,,,,20,,,,,,,
Ciconia ciconia,8000,,,,,,,,22,4,,0.0667,,,,
Ciconia nigra,3000,,,,,,,,18,4,,0.0667,,,,
Cinclus cinclus,64,,,,,,,,3,1,,0.0167,,,,
Cinclus mexicanus,50.2,,,,,,,,7.17,,,,,,,
Circus cyaneus,445,,,,,,,,1.38,3,1.0139,0.0333,0.0169,,,
Cirrhilabrus exquisitus,2000,,,,,,,,,,,,,,,
Cistothorus palustris,11.5,,,,,,,,,,,,,,,
Cistothorus platensis,8.5,,,,,,,,,1,,0.0167,,,,
Civettictis civetta,13500,,,,,,,,15,,0.5917,,0.0169,,,
Clangula hyemalis,910,,,,,,,,15.3,2,,0.0333,,,,
Clupea harengus,680,,,,,,,,22,4,,0.0667,,,,
Coccyzus americanus,60,,,,,,,,4,0,,0,,,,
Coccyzus erythropthalmus,52.5,,,,,,,,5,,,,,,,
Coendou prehensilis,3500,,,,,,,,17,,1.6056,0.0264,0.0268,,,
Coenobita perlatus,80,,,,,,,,27.5,,,,,,,
Colaptes auratus,170,,,,,,,,9.17,,,,,,,
Coleonyx brevis,2.6,,,,,,,,,,,,,,,
Colinus virginianus,155,,,,,,,,6,1,,0.0167,,,,
Colobus angolensis,8900,,,,,,,,20,3,,0.05,,,,
Colobus guereza,9500,,,,,,,,20,6,6.0889,0.0667,0.0676,,,
Colobus polykomos,9500,,,,,,,,30.5,,2.0278,0.0333,0.076,,,
Colobus satanas,11000,,,,,,,,,6,,0.0667,,,,
Colobus vellerosus,9300,,,,,,,,,6,,0.0667,,,,
Columba fasciata,340,,,,,,,,18.5,,,,,,,
Columba livia,358.7,,,,,,,,6,,0.3889,,0.0065,,,
Columbina inca,44,,,,,,,,7.75,,,,,,,
Condylura cristata,55,,,,,,,,3.5,0.8333,0.8444,0.0139,0.0141,,,
Conepatus chinga,3400,,,,,,,,6,11,,0.1833,,,,
Conepatus humboldtii,2800,,,,,,,,,,,,,,,
Conepatus leuconotus leuconotus,3250,,,,,,,,,0.9167,,0.0153,,,,
Conepatus semistriatus,1600,,,,,,,,,0.8333,,0.0139,,,,
Connochaetes gnou,133500,,,,,,,,20,3,,0.0333,,,,
Connochaetes taurinus,194000,,,,,,,,20,2,2.5333,0.0222,0.019,,,
Conraua goliath,1925,,,,,,,,,,,,,,,
Contopus sordidulus,13,,,,,,,,7,,,,,,,
Conuropsis carolinensis,280,,,,,,,,,1,,0.0167,,,,
Conus geographus,38.8,,,,,,,,,0.75,,0.0125,,,,
Coracias cyanogaster,142,,,,,,,,,,,,,,,
Coragyps atratus,2350,,,,,,,,25.5,,,,,,,
Coregonus artedi,3400,,,,,,,,13,2.5,,0.0417,,,,
Coregonus clupeaformis,1800,,,,,,,,50,,,,,,,
Coregonus hoyi,227,,,,,,,,10,,,,,,,
Coregonus kiyi,100,,,,,,,,,2.5,,0.0417,,,,
Coregonus zenithicus,300,,,,,,,,11.5,5,,0.0833,,,,
Corvus brachyrhynchos,450,,,,,,,,14.58,2,,0.0333,,,,
Corvus caurinus,390,,,,,,,,12,1.4583,,0.0243,,,,
Corvus corax,1157,,,,,,,,17.17,3,3.0417,0.05,0.0507,,,
Corvus frugilegus,434,,,,,,,,22,2,,0.0333,,,,
Corynorhinus rafinesquii,10,,,,,,,,10,,,,,,,
Corynorhinus townsendii,9,,,,,,,,21,1,,0.0056,,,,
Coryphaena hippurus,14000,,,,,,,,2,0.375,,0.0063,,,,
Coturnicops noveboracensis,50,,,,,,,,7,,,,,,,
Coturnix adansonii,43.5,,,,,,,,,,,,,,,
Coturnix chinensis,34,,,,,,,,,0.0833,,0.0014,,,,
Coturnix coturnix,112.5,,,,,,,,,,,,,,,
Coturnix delegorguei,64,,,,,,,,,,,,,,,
Coturnix japonica,90,,,,,,,,,,0.1444,,0.0029,,,
Coturnix novaezelandiae,210,,,,,,,,,,,,,,,
Coturnix pectoralis,113.5,,,,,,,,,0.3333,,0.0056,,,,
Coturnix ypsilophora,83.5,,,,,,,,,,,,,,,
Craseonycteris thonglongyai,1.85,,,,,,,,,,,,,,,
Craspedacusta sowerbyi,4,,,,,,,,,,,,,,,
Cratogeomys castanops,271.5,,,,,,,,,,,,,,4.7,4.7
Cratogeomys neglectus,395,,,,,,,,,,,,,,,
Cricetomys gambianus,1230,,,,,,,,,,,0.0083,0.0073,,,
Cricetus cricetus,506.7,,,,,,,,4,,0.1556,,0.002,,,
Crocidura leucodon,9.5,,,,,,,,3,0.75,,0.0125,,,,
Crocidura russula,12.5,,,,,,,,0.08,,,,,,,
Crocodylus acutus,335000,,,,,,,,65,9,,0.15,,,,
Crocodylus moreletii,51000,,,,,,,,60,7,,0.1167,,,,
Crocodylus porosus,1100000,,,,,,,,,16,,0.1833,,,,
Crocuta crocuta,62500,,,,,,,,25,3,,0.0556,,,,
Crossarchus obscurus,790,,,,,,,,,0.75,0.7611,0.0125,0.0127,,,
Crossarchus platycephalus,1100,,,,,,,,13.3,,,0.0125,,,,
Crossoptilon mantchuricum,1962.5,,,,,,,,,2,,0.0333,,,,
Crotalus horridus,750,,,,,,,,30,5,,0.1667,,,,
Crotalus molossus,8850,,,,,,,,17.5,,,0.0667,,,,
Crotalus tigris,454,,,,,,,,,,,,,,,
Crotalus unicolor,14,,,,,,,,16,4,,0.0833,,,,
Cryptobranchus alleganiensis,707.5,,,,,,,,30,6,,0.1167,,,,
Cryptomys damarensis,144,,,,,,,,,,,0.0237,0.0237,,,
Cryptomys hottentotus,90,,,,,,,,,,,,0.0208,,,
Cryptonanus chacoensis,15,,,,,,,,,,,,,,,
Cryptoprocta ferox,9500,,,,,,,,,,,,0.0693,,,
Cryptotis meridensis,12.3,,,,,,,,,,,,,,,
Cryptotis parva,4.5,,,,,,,,1,0.1194,0.1194,0.0019,0.0019,,,
Crypturellus boucardi,470,,,,,,,,,,,,,,,
Ctenodactylus gundi,185,,,,,,,,,,,,0.0148,,,
Ctenomys conoveri,900,,,,,,,,3,,,,,,,
Ctenomys fulvus,360,,,,,,,,,,,,,,,
Ctenomys haigi,164,,,,,,,,,,,,,,,
Ctenomys pearsoni,200,,,,,,,,,,,,,,,
Ctenomys rionegrensis,400,,,,,,,,3,,,,,,,
Ctenomys sociabilis,180,,,,,,,,,,,,,,,
Ctenomys talarum,133,,,,,,,,1.75,0.5833,,0.0097,,,,
Ctenosaura similis,1000,,,,,,,,,,,,,,,
Cuculus canorus,111.6,,,,,,,,,,,,,,,
Cuniculus paca,9500,,,,,,,,12.5,0.8333,,0.0139,,,,
Cuniculus taczanowskii,9000,,,,,,,,12.5,1,,0.0167,,,,
Cuon alpinus,19000,,,,,,,,,,1.0139,,0.0169,,,
Cuora flavomarginata,1000,,,,,,,,,13,,0.2333,,,,
Cyanocitta cristata,87,,,,,,,,7,1,,0.0167,,,,
Cyanocitta stelleri,120,,,,,,,,16.08,,,,,,,
Cyanolyca cucullata,1000,,,,,,,,,,,,,,,
Cyanopsitta spixii,360,,,,,,,,29,7,,0.1167,,,,
Cycleptus elongatus,2500,,,,,,,,10.5,3,,0.05,,,,
Cyclopes didactylus,266,,,,,,,,,,,,,,,
Cygnus atratus,6200,,,,,,,,40,2.25,,0.0375,,,,
Cygnus buccinator,11500,,,,,,,,24,5.5,,0.0917,,,,
Cygnus columbianus,6350,,,,,,,,20.15,4,,0.0667,,,,
Cygnus cygnus,11450,,,,,,,,20,4,,0.0667,,,,
Cygnus melancoryphus,5100,,,,,,,,30,2,,0.0333,,,,
Cygnus olor,10950,,,,,,,,26.75,3,,0.05,,,,
Cynanthus latirostris,3.55,,,,,,,,6.08,,,,,,,
Cynictis penicillata,598.5,,,,,,,,,,,,0.0338,,,
Cynocephalus volans,1380,,,,,,,,,,,,,,,
Cynogale bennettii,4000,,,,,,,,,,,,,,,
Cynomys gunnisoni,900,,,,,,,,,,,,0.0169,,,
Cynomys leucurus,1139,,,,,,,,,1,,0.0167,,,,
Cynomys ludovicianus,1190,,,,,,,,1,2,,0.0333,,,,
Cynomys mexicanus,1150,,,,,,,,,2,,0.0167,,,,
Cynopterus brachyotis,65,,,,,,,,25,1.4583,,0.0076,,,,
Cynopterus sphinx,75,,,,,,,,,,1.4583,,0.0069,,,
Cynoscion regalis,5000,,,,,,,,,,,,,,,
Cyprinus carpio,2250,,,,,,,,38,4,,0.0667,,,,
Cyrtonyx montezumae,185.5,,,,,,,,,,,,,,,
Cystophora cristata,230000,,,,,,,,35,5,,0.0533,,,,
Dactylopsila trivirgata,423,,,,,,,,5,,,,,,,
Dama dama,55000,,,,,,,,25,4,,0.0222,0.0225,,,
Damaliscus lunatus,118500,,,,,,,,15,,,,0.0296,,,
Damaliscus pygargus,67500,,,,,,,,,,,,0.0327,,,
Dasyatis americana,87700,,,,,,,,12.5,3.5,,0.0917,,,,
Dasyatis centroura,300000,,,,,,,,,,,,,,,
Dasycercus cristicauda,115,,,,,,,,6,,0.875,,0.0146,,,
Dasyprocta fuliginosa,2650,,,,,,,,,,,,,,,
Dasyprocta leporina,3265,,,,,,,,,,,,0.0089,,,
Dasyprocta mexicana,3500,,,,,,,,,,,,,,,
Dasyprocta punctata,2500,,,,,,,,10,,,,0.0225,,,
Dasyprocta ruatanica,2300,,,,,,,,,,,,,,,
Dasypus hybridus,5500,,,,,,,,,1,,0.0167,,,,
Dasypus novemcinctus,5500,,,,,,,,13.5,1.5,1.0139,0.025,0.0169,,,
Dasypus septemcinctus,1470,,,,,,,,,,,0.0127,,,,
Dasyuroides byrnei,105,,,,,,,,,0.6667,,0.0111,,,,
Dasyurus geoffroii,1100,,,,,,,,,,,,0.0169,,,
Dasyurus hallucatus,600,,,,,,,,1,0.9167,0.875,0.0153,0.0146,,,
Dasyurus maculatus,2650,,,,,,,,3,1,0.9444,0.0167,0.0157,,,
Dasyurus viverrinus,1075,,,,,,,,5,,0.9306,,0.0155,,,
Daubentonia madagascariensis,2592.5,,,,,,,,,2.5,,0.0417,0.0408,,,
Delphinapterus leucas,1425000,,,,,,,,36,8,,0.0917,,,,
Delphinus delphis,118000,,,,,,,,20,13.5,,0.225,,,,
Deltamys kempi,,26.4,,,,,,,,,,,,,,
Dendragapus obscurus,1140,,,,,,,,3,1.0139,,0.0169,,,,
Dendrobates leucomelas,3,,,,,,,,6,2,,0.0333,,,,
Dendrobates tinctorius,3,,,,,,,,5,2,,0.0333,,,,
Dendrocopos leucotos,108.5,,,,,,,,3.5,,,,,,,
Dendrogale murina,45,,,,,,,,12,0.1667,,0.0028,,,,
Dendrohyrax arboreus,2270,,,,,,,,10,,1.0139,,0.0169,,,
Dendrohyrax dorsalis,3000,,,,,,,,,,,,,,,
Dendroica caerulescens,9.5,,,,,,,,10,1.5,,0.0167,,,,
Dendroica coronata,11.5,,,,,,,,,,,,,,,
Dendroica fusca,10.5,,,,,,,,8,2,,0.0333,,,,
Dendroica kirtlandii,15.5,,,,,,,,9,,1.0139,,0.0169,,,
Dendroica magnolia,8,,,,,,,,8,,,,,,,
Dendroica palmarum,10.14,,,,,,,,6.58,,,,,,,
Dendroica pensylvanica,9,,,,,,,,6.92,,,,,,,
Dendroica petechia,16,,,,,,,,10.92,1,,0.0167,,,,
Dendroica pinus,11.9,,,,,,,,6,1,,0.0167,,,,
Dendroica virens,8.5,,,,,,,,5.92,,,,,,,
Dendrolagus bennettianus,10500,,,,,,,,,,,,,,,
Dendrolagus goodfellowi,7400,,,,,,,,,,,,,,,
Dendrolagus inustus,11500,,,,,,,,10,2,,0.0333,0.0236,,,
Dendrolagus matschiei,9500,,,,,,,,8,2,,0.0333,0.0391,,,
Dendrolagus scottae,10000,,,,,,,,,,,,,,,
Dendromus melanotis,12.5,,,,,,,,,,,,,,,
Dendromus mystacalis,12,,,,,,,,,,,,,,,
Dendrortyx barbatus,430,,,,,,,,3,1.5,,0.025,,,,
Dermacentor andersoni,0.35,,,,,,,,3,1,,0.0167,,,,
Dermatemys mawii,20000,,,,,,,,,,,,,,,
Dermatolepis dermatolepis,12500,,,,,,,,24,,,,,,,
Dermochelys coriacea,575000,,,,,,,,,,,0.2167,,,,
Desmodus rotundus,32.5,,,,,,,,12,,0.7917,,0.0132,,,
Desmognathus ochrophaeus,0.6,,,,,,,,,,3.5556,,0.0593,,,
Diadema savignyi,120,,,,,,,,4,,,,,,,
Diaemus youngi,40,,,,,,,,,,,,,,,
Dicamptodon tenebrosus,68,,,,,,,,,5.5,,0.0917,,,,
Dicentrarchus labrax,9500,,,,,,,,,,2.0278,,0.0676,,,
Dicerorhinus sumatrensis,1400000,,,,,,,,32,,,,0.1268,,,
Diceros bicornis,1100000,,,,,,,,35,7.5,,0.1,,,,
Diclidurus albus,20,,,,,,,,,,,,,,,
Dicrostonyx groenlandicus,71,,,,,,,,,,0.2361,,0.0019,,,
Dicrurus paradiseus,100,,,,,,,,,,,,,,,
Didelphis albiventris,1625,,,,,,,,1.67,0.75,1.0139,0.0125,0.0169,,,
Didelphis aurita,1290,,,,,,,,2,,,0.0117,,,,
Didelphis marsupialis,1530,,,,,,,,2,,0.6667,0,,,,
Didelphis virginiana,3950,,,,,,,,1.75,0.6667,0.675,0.0083,0.0085,,,
Dinomys branickii,12500,,,,,,,,,,,,,,,
Diodon hystrix,2800,,,,,,,,,,,,,,,
Diomedea epomophora,9000,,,,,,,,58,10,,0.1667,,,,
Diomedea exulans,8130,,,,,,,,34.58,10,,0.1667,,,,
Diphylla ecaudata,35,,,,,,,,,,,,,,,
Diphyllodes magnificus,159,,,,,,,,,4.5,,0.0167,,,,
Dipodomys compactus,52,,,,,,,,2,0.2,,0.0033,,,,
Dipodomys deserti,115.5,,,,,,,,,0.1667,,0.0028,,,,
Dipodomys elator,80.7,,,,,,,,,,,,,,,
Dipodomys heermanni,75,,,,,,,,,,,,,,,
Dipodomys merriami,45,,,,,,,,,,,,0.0047,,,
Dipodomys microps,55,,,,,,,,0.41,0.1667,,0.0028,,,,
Dipodomys nitratoides,42,,,,,,,,,,,,0.0041,,,
Dipodomys ordii,75.5,,,,,,,,,0.1667,,0.0028,0.0028,,,
Dipodomys spectabilis,145,,,,,,,,,,,,,,,
Dipodomys stephensi,65,,,,,,,,,,,,,,,
Dipodomys venustus,82.5,,,,,,,,,0.1667,,0.0028,,,,
Dipsochelys dussumieri,205000,,,,,,,,,25,,0.4167,,,,
Dipsosaurus dorsalis,69.5,,,,,,,,,2.6667,,0.0444,,,,
Distoechurus pennatus,51.5,,,,,,,,,,,,,,,
Dolichonyx oryzivorus,43,,,,,,,,5,1,,0.0167,,,,
Dolichotis patagonum,8120,,,,,,,,,,0.5083,0.0111,0.0073,,,
Dolichotis salinicola,2050,,,,,,,,,,,,,,,
Dologale dybowskii,350,,,,,,,,,,,,,,,
Dolomedes triton,1,,,,,,,,,,,,,,,
Dorcopsis atrata,2050,,,,,,,,,,,,,,,
Dorcopsis luctuosa,7600,,,,,,,,,,,0.0208,0.0208,,,
Dorcopsulus macleayi,4000,,,,,,,,,2,,0.0333,,,,
Dorosoma cepedianum,1089,,,,,,,,10,,2.0278,,0.0338,,,
Dosidicus gigas,50000,,,,,,,,1,0.6083,,0.0109,,,,
Dromaius novaehollandiae,38000,,,,,,,,7,1.5,,0.025,,,,
Dromiciops gliroides,29,,,,,,,,,1.5,,0.025,,,,
Drymarchon couperi,24,,,,,,,,17,3.5,,0.0583,,,,
Dryocopus pileatus,364,,,,,,,,12.92,,,,,,,
