Species,Period_years,Mass_g,Temp_AT,Temp_GST,Gen_Time_days,Series_Length_years,Lat,Signif,Method,RefPeriod,RefM,RefT,RefGT
Daphnia pulicaria,0.2608,5.00E-05,15,,7.07,1.688,,sig,Spect,226,225,226,225
Daphnia pulicaria,0.3753,5.00E-05,15,,7.07,1.885,,sig,Spect,226,225,226,225
Daphnia pulicaria,0.4986,5.00E-05,15,,7.07,1.885,,sig,Spect,226,225,226,225
Eurytemora affinis,0.1096,5.50E-06,20,,9.2,3.288,,sig,Wave,213,227,213,228
Dictyostelium discoideu,0.0055,8.40E-10,25,,0.33,0.022,,,Subj,229,209,229,230
Dictyostelium discoideu,0.0123,8.40E-10,25,,0.33,0.074,,,Subj,229,209,229,230
Dictyostelium discoideu,0.0123,8.40E-10,25,,0.33,0.074,,,Subj,229,209,229,230
Didinium nasutum,0.0178,2.00E-07,22,,0.3,0.11,,,TPT,231,231,231,231
Didinium nasutum,0.0288,2.00E-07,22,,0.3,0.11,,,TPT,231,231,231,231
Didinium nasutum,0.0166,7.35E-07,27,,0.5,0.099,,,Subj,232,209,232,232
Didinium nasutum,0.0178,7.35E-07,27,,0.5,0.321,,,Subj,232,209,232,232
Didinium nasutum,0.0129,7.35E-07,25,,0.28,0.09,,,Subj,233,209,233,234
Didinium nasutum,0.016,7.35E-07,27,,0.25,0.032,,,Subj,232,209,232,232
Didinium nasutum,0.018,7.35E-07,27,,0.25,0.072,,,Subj,232,209,232,232
Didinium nasutum,0.0185,7.35E-07,27,,0.25,0.37,,,Subj,232,209,232,232
Tetrahymena pyriformis,0.0082,2.00E-08,25,,0.1,0.041,,,Subj,235,235,229,236
Tetrahymena pyriformis,0.011,2.00E-08,20,,0.1,0.121,,,Subj,237,235,237,236
Tetrahymena pyriformis,0.0132,2.00E-08,20,,0.1,0.085,,,Subj,237,235,237,236
Tetrahymena pyriformis,0.0233,2.00E-08,25,,0.1,0.077,,,Subj,235,235,229,236
Woodruffia metabolica,0.0179,1.18E-07,25,,0.42,0.233,,,Subj,238,209,238,238
