Taxon,"log10Homerange(km2)","log10Mass(kg)",Diet,Environment,References
Nyctereutes_procyonoides,0.40,0.81,Omnivore,Terrestrial,"Ikeda et al. 1979, Kauhala et al. 1993, Ward and Wurster Hill 1989"
Ochotona_curzoniae,-2.86,-0.81,Herbivore,Terrestrial,Smith et al. 1986
Ochotona_princeps,-2.73,-0.83,Herbivore,Terrestrial,"Kawamichi 1976, Smith and Ivins 1984"
Ochrotomys_nuttalli,-2.38,-1.64,Omnivore,Terrestrial,Jones et al. 2009
Odocoileus_hemionus,1.54,1.73,Herbivore,Terrestrial,"Dickinson and Garner 1979, Eberhardt et al. 1984, Hayes and Krausman 1993, Kohl et al. 1987, Kufeldet al. 1989, Leach and Edge 1994, Livesey 1991, Loft et al. 1989, Nicholson et al. 1997, Schoen andKirchhoff 1985, Stephenson et al. 1996"
Odocoileus_virginianus,0.40,1.94,Herbivore,Terrestrial,"Beier and McCullough 1990, Holzenbein and Marchinton 1992, Hoskinson and Mech 1976, Ivey andCausey 1981, McShea and Schwede 1993, Mooty et al. 1987, Nelson and Mech 1981, Sargent andLabisky 1995, Scanlon and Vaughan 1985, Tierson et al. 1985, Vanderhoof and Jacobson 1993,Vercauteren and Hygnstrom 1998, Wiles and Weeks 1986"
Okapia_johnstoni,0.77,2.36,Herbivore,Terrestrial,Hart and Hart 1989
Ondatra_zibethicus,-2.47,0.00,Omnivore,Terrestrial,Jones et al. 2009
Ondatra_zibethicus_,-2.22,0.13,Herbivore,Terrestrial,Dell et al. 1983
Onychogalea_fraenata,-0.37,0.70,Herbivore,Terrestrial,Evans 1996
Onychomys_torridus,-1.59,-1.66,Carnivore,Terrestrial,Frank and Heske 1992
Orcaella_heinsohni,2.28,2.11,Carnivore,Marine,"Parra, 2006"
Orcinus_orca,3.72,3.75,Carnivore,Marine,"Andrews et al., 2008"
Oreamnos_americanus,1.37,2.80,Herbivore,Terrestrial,Rideout 1975
Ornithorhynchus_anatinus,-1.16,0.18,Carnivore,Terrestrial,Gust and Handasyde 1995
Oryctolagus_cuniculus,-1.20,0.20,Herbivore,Terrestrial,Hulbert et al. 1996
Oryzomys_palustris,-2.56,-1.27,Omnivore,Terrestrial,Jones et al. 2009
Otaria_flavescens,3.86,2.37,Carnivore,Marine,"Campagna et al., 2001"
Otocyon_megalotis,0.55,0.62,Carnivore,Terrestrial,Malcolm 1986
Otolemur_crassicaudatus,-1.15,0.08,Omnivore,Terrestrial,Jones et al. 2009
Otolemur_garnettii,-0.89,-0.09,Omnivore,Terrestrial,Jones et al. 2009
Ovis_ammon,0.77,2.06,Herbivore,Terrestrial,DuBois et al. 1993
Ovis_canadensis,1.44,1.96,Herbivore,Terrestrial,"Bissonette and Steinkamp 1996, Bristow et al. 1996, Krausman et al. 1989, Leslie and Douglas 1979,Payer and Coblentz 1997"
Ozotoceros_bezoarticus,0.90,1.54,Herbivore,Terrestrial,Leeuwenberg et al. 1997
Paguma_larvata,0.57,0.48,Omnivore,Terrestrial,Rabinowitz 1991
Pan_troglodytes,1.10,1.65,Omnivore,Terrestrial,Jones et al. 2009
Panthera_leo,2.31,2.31,Carnivore,Terrestrial,Schaller 1972
Panthera_onca,1.92,1.92,Carnivore,Terrestrial,"Crawshaw and Quigley 1991, Rabinowitz and Nottingham 1986"
Panthera_pardus,2.70,1.68,Carnivore,Terrestrial,"Bailey 1993, Bothma et al. 1997, Jenny 1996, Norton and Lawson 1985, Stander et al. 1997"
Panthera_tigris,1.73,2.05,Carnivore,Terrestrial,"McDougal 1977, Schaller 1967, Sunquist 1981"
Paradoxurus_hermaphroditus,0.73,0.54,Omnivore,Terrestrial,"Dhungel and Edge 1985, Rabinowitz 1991"
Parascalops_breweri,-4.35,-1.29,Omnivore,Terrestrial,Jones et al. 2009
Paraxerus_cepapi,-2.41,-0.65,Omnivore,Terrestrial,Jones et al. 2009
Paraxerus_palliatus,-1.56,-0.43,Herbivore,Terrestrial,Skinner and van Aarde 1987
Pecari_tajacu,0.40,1.37,Herbivore,Terrestrial,"Bellantoni and Krausman 1993, Ilse and Hellgren 1995, Schweinsburg 1971, Taber et al. 1994"
Perameles_bougainville,-1.15,-0.64,Omnivore,Terrestrial,Jones et al. 2009
Perodicticus_potto,-0.92,0.03,Omnivore,Terrestrial,Jones et al. 2009
Perognathus_inornatus,-3.75,-1.99,Omnivore,Terrestrial,Jones et al. 2009
Perognathus_merriami,-2.05,-2.16,Omnivore,Terrestrial,Jones et al. 2009
Perognathus_parvus,-2.73,-1.67,Omnivore,Terrestrial,Jones et al. 2009
Peromyscus_attwateri,-2.74,-1.55,Omnivore,Terrestrial,Jones et al. 2009
Peromyscus_boylii,-2.44,-1.55,Omnivore,Terrestrial,Ribble and Stanley 1998
Peromyscus_californicus,-2.92,-1.34,Omnivore,Terrestrial,Ribble and Salvioni 1990
Peromyscus_crinitus,-2.47,-1.79,Omnivore,Terrestrial,Jones et al. 2009
Peromyscus_gossypinus,-2.30,-1.56,Carnivore,Terrestrial,Jones et al. 2009
Peromyscus_leucopus,-1.91,-1.64,Omnivore,Terrestrial,"Mineau and Madison 1977, Ormiston 1985"
Peromyscus_maniculatus,-2.88,-1.57,Omnivore,Terrestrial,Mullican 1988
Peromyscus_truei,-1.85,-1.60,Omnivore,Terrestrial,"Hall and Morrison 1997, Ribble and Stanley 1998"
Petauroides_volans,-1.81,0.11,Herbivore,Terrestrial,Comport et al. 1996
Petaurus_australis,-0.34,-0.24,Omnivore,Terrestrial,Goldingay and Kavanagh 1993
Petaurus_breviceps,-1.37,-1.14,Omnivore,Terrestrial,"Quin 1995, Quin et al. 1992"
Petaurus_norfolcensis,-1.42,-0.64,Omnivore,Terrestrial,Quin 1995
Petrodromus_tetradactylus,-1.92,-0.70,Carnivore,Terrestrial,FitzGibbon 1995
Petrogale_assimilis,-0.92,0.67,Herbivore,Terrestrial,Horsup 1994
Phacochoerus_aethiopicus,0.24,1.91,Herbivore,Terrestrial,Cumming 1975
Philander_opossum,-2.51,-0.37,Omnivore,Terrestrial,Jones et al. 2009
Phoca_vitulina,2.60,1.50,Carnivore,Marine,"Smith et al., 2006"
Phocarctos_hookeri,2.41,2.11,Carnivore,Marine,Auge et al. 2011
Phocoena_phocoena,4.28,1.74,Carnivore,Marine,"Johnston et al., 2005"
Piliocolobus_badius,-0.15,0.93,Omnivore,Terrestrial,Jones et al. 2009
Podomys_floridanus,-2.52,-1.51,Omnivore,Terrestrial,Jones et al. 2009
Pongo_pygmaeus,0.74,1.73,Omnivore,Terrestrial,Jones et al. 2009
Potorous_longipes,-0.43,0.28,Herbivore,Terrestrial,Green et al. 1998
Potos_flavus,-0.55,0.46,Herbivore,Terrestrial,"Julien-LaFerriere 1993, Kays and Gittleman 1995"
Priodontes_maximus,0.66,1.61,Carnivore,Terrestrial,Jones et al. 2009
Prionailurus_bengalensis,0.38,0.40,Carnivore,Terrestrial,Rabinowitz 1990
Procyon_lotor,0.52,1.03,Omnivore,Terrestrial,"Fritzell 1978, Gehrt and Fritzell 1997, Hoffman and Gottschang 1977, Sherfy and Chapman 1980,Shirer and Fitch 1970, Urban 1970"
Proechimys_brevicauda,-2.30,-0.55,Omnivore,Terrestrial,Jones et al. 2009
Proechimys_cuvieri,-2.24,-0.46,Herbivore,Terrestrial,Guillotin 1982
Proechimys_longicaudatus,-2.68,-0.69,Omnivore,Terrestrial,Jones et al. 2009
Proechimys_semispinosus,-2.98,-0.37,Herbivore,Terrestrial,Seamon and Adler 1999
Proechimys_simonsi,-2.50,-0.55,Omnivore,Terrestrial,Jones et al. 2009
Proteles_cristatus,0.58,1.00,Carnivore,Terrestrial,Skinner and van Aarde 1986
Pseudalopex_culpaeus,0.69,0.87,Carnivore,Terrestrial,"Johnson and Franklin 1994, Salvatori et al. 1999"
Pseudalopex_griseus,0.30,0.60,Carnivore,Terrestrial,Johnson and Franklin 1994
Pseudomys_chapmani,-1.13,-2.00,Omnivore,Terrestrial,Anstee et al. 1997
Pseudomys_fuscus,-3.20,-0.91,Herbivore,Terrestrial,Bubela et al. 1991
Pseudomys_higginsi,-2.67,-1.20,Omnivore,Terrestrial,Jones et al. 2009
Pteromys_volans,-1.40,-0.84,Omnivore,Terrestrial,Jones et al. 2009
Pteronura_brasiliensis,2.01,1.41,Carnivore,Terrestrial,Jones et al. 2009
Pudu_puda,-0.70,0.88,Herbivore,Terrestrial,Eldridge et al. 1987
Puma_concolor,2.49,1.95,Carnivore,Terrestrial,"Belden et al. 1988, Hemker et al. 1984, Logan et al. 1986, Maehr et al. 1991, Pittman et al. 1995, Rossand Jalkotzy 1992, Seidensticker et al. 1973, Spreadbury et al. 1996"
Puma_yagouaroundi_,1.83,0.83,Carnivore,Terrestrial,Konecny 1989
Pygeretmus_pumilio,-2.50,-1.28,Herbivore,Terrestrial,Rogovin et al. In press
Rangifer_tarandus,3.55,2.01,Herbivore,Terrestrial,"Bradshaw et al. 1995, Edmonds 1988, Stuart Smith et al. 1997"
Raphicerus_campestris,-0.21,1.05,Herbivore,Terrestrial,du Toit 1990
Rattus_everetti,-2.37,-0.60,Omnivore,Terrestrial,Jones et al. 2009
Rattus_exulans,-3.10,-1.30,Omnivore,Terrestrial,Jones et al. 2009
Rattus_rattus,-2.70,-0.85,Omnivore,Terrestrial,Jones et al. 2009
Rattus_verecundus,-2.82,-1.01,Omnivore,Terrestrial,Jones et al. 2009
Reithrodontomys_fulvescens,-2.77,-1.94,Omnivore,Terrestrial,Jones et al. 2009
Reithrodontomys_montanus,-2.61,-1.96,Omnivore,Terrestrial,Jones et al. 2009
Reithrodontomys_raviventris,-2.67,-1.96,Herbivore,Terrestrial,Bias and Morrison 1999
Rhynchocyon_chrysopygus,-1.54,-0.27,Carnivore,Terrestrial,"FitzGibbon 1995, Rathbun 1979"
Rupicapra_rupicapra,0.53,1.49,Herbivore,Terrestrial,Clarke and Henderson 1984
Saguinus_fuscicollis,-0.48,-0.40,Omnivore,Terrestrial,Jones et al. 2009
Saguinus_midas,-1.05,-0.27,Omnivore,Terrestrial,Jones et al. 2009
Saguinus_oedipus,-0.77,-0.34,Omnivore,Terrestrial,Jones et al. 2009
Saimiri_sciureus,-0.19,-0.13,Omnivore,Terrestrial,Jones et al. 2009
Scalopus_aquaticus,-2.13,-0.99,Carnivore,Terrestrial,Harvey 1976
Scapanus_orarius,-2.82,-1.21,Omnivore,Terrestrial,Jones et al. 2009
Sciurus_aberti,-0.88,-0.10,Herbivore,Terrestrial,"Farentinos 1979, Hall 1981, Patton 1975, Patton et al. 1985"
Sciurus_carolinensis,-2.31,-0.27,Herbivore,Terrestrial,Doebel and McGinnes 1974
Sciurus_granatensis,-2.00,-0.50,Omnivore,Terrestrial,Jones et al. 2009
Sciurus_lis,-0.77,-0.58,Herbivore,Terrestrial,Tamura 1998
Sciurus_niger,-0.89,-0.02,Herbivore,Terrestrial,"Benson 1980, Kantola and Humphrey 1990, Sheperd and Swihart 1995"
Sciurus_vulgaris,-1.13,-0.48,Herbivore,Terrestrial,"Wauters et al. 1994, Wiegand  1995"
Sigmodon_hispidus,-2.55,-0.96,Omnivore,Terrestrial,Jones et al. 2009
Sminthopsis_leucopus,-1.94,-1.64,Carnivore,Terrestrial,Laidlaw et al. 1996
Sorex_araneus,-3.28,-2.04,Omnivore,Terrestrial,Jones et al. 2009
Sorex_arcticus,-2.32,-2.09,Carnivore,Terrestrial,Jones et al. 2009
Sorex_cinereus,-2.30,-2.38,Carnivore,Terrestrial,Jones et al. 2009
Sorex_coronatus,-3.43,-2.03,Carnivore,Terrestrial,Jones et al. 2009
Sorex_gracillimus,-3.56,-2.36,Carnivore,Terrestrial,Jones et al. 2009
Sorex_minutus,-2.85,-2.36,Omnivore,Terrestrial,Jones et al. 2009
Sorex_monticolus,-2.78,-2.16,Omnivore,Terrestrial,Jones et al. 2009
Sorex_palustris,-2.59,-1.88,Omnivore,Terrestrial,Jones et al. 2009
Sorex_unguiculatus,-4.11,-1.85,Carnivore,Terrestrial,Jones et al. 2009
Sotalia_fluviatilis,1.18,1.74,Carnivore,Marine,"Flores et al., 2004"
Sotalia_guianensis,0.90,1.90,Carnivore,Marine,"Oshima et al., 2010"
Sousa_chinensis,2.29,2.33,Carnivore,Marine,"Parra, 2006"
Spalacopus_cyanus,-4.39,-1.00,Herbivore,Terrestrial,TorresMura 1990
Spermophilus_beecheyi,-3.28,-0.14,Herbivore,Terrestrial,Boellstorff and Owings 1995
Spermophilus_columbianus,-3.27,-0.24,Herbivore,Terrestrial,Festa Bianchet and Boag 1982
Spermophilus_franklinii,-0.77,-0.20,Herbivore,Terrestrial,Choromanski Norris et al. 1989
Spermophilus_parryii,-1.52,-0.10,Herbivore,Terrestrial,Hubbs and Boonstra 1998
Spermophilus_spilosoma,-1.82,-0.97,Herbivore,Terrestrial,Streubel 1975
Spermophilus_tereticaudus,-2.00,-0.83,Omnivore,Terrestrial,Jones et al. 2009
Spermophilus_tridecemlineatus,-1.81,-0.70,Herbivore,Terrestrial,Streubel 1975
Spermophilus_variegatus,-1.37,-0.13,Herbivore,Terrestrial,"Ortega 1990, Shriner and Stacey 1991"
Spilogale_putorius,-0.63,-0.23,Omnivore,Terrestrial,Crooks and Van Vuren 1995
Stylodipus_telum,-2.35,-1.22,Herbivore,Terrestrial,Heske et al. 1995
Suricata_suricatta,1.15,-0.14,Carnivore,Terrestrial,Jones et al. 2009
Sus_scrofa,0.90,1.92,Omnivore,Terrestrial,"Baber and Coblentz 1986, Boitani et al. 1994, Caley 1997, Coblentz and Baber 1987, Ilse and Hellgren1995, Massei et al. 1997, Saunders and Kay 1996, Van Vuren and Coblentz 1989, Wood andBrenneman 1980"
Sylvilagus_aquaticus,-1.74,0.33,Herbivore,Terrestrial,Kjolhaug and Woolf 1988
Sylvilagus_floridanus,-1.54,0.13,Herbivore,Terrestrial,"Allen et al. 1982, Althoff and Storm 1989,  Anderson and Pelton 1976, Trent and Rongstad 1974"
Sylvilagus_palustris,-1.40,0.13,Herbivore,Terrestrial,Forys and Humphrey 1996
Synaptomys_cooperi,-2.34,-1.42,Herbivore,Terrestrial,Danielson and Swihart 1987
Syncerus_caffer,1.91,2.77,Herbivore,Terrestrial,"Funston et al. 1994, Leuthold 1972, Stark 1986"
Tachyglossus_aculeatus,-0.35,0.65,Carnivore,Terrestrial,"Abensperg Traun 1991, Augee et al. 1992, Wilkinson et al. 1998"
Tachyoryctes_splendens,-4.00,-0.59,Herbivore,Terrestrial,Jarvis 1973 cited in Reichman and Smith 1990
Talpa_europaea,-2.52,-1.02,Carnivore,Terrestrial,Macdonald et al. 1997
Talpa_romana,-2.55,-1.09,Carnivore,Terrestrial,Loy et al. 1994
Tamandua_mexicana,-0.60,0.62,Carnivore,Terrestrial,Jones et al. 2009
Tamandua_tetradactyla,0.48,0.68,Carnivore,Terrestrial,Jones et al. 2009
Tamias_amoenus,-2.09,-1.57,Herbivore,Terrestrial,Martinsen 1968
Tamias_minimus,-1.83,-1.37,Herbivore,Terrestrial,"Bergstrom 1988, Martinsen 1968, Sheppard 1972"
Tamias_quadrimaculatus,-2.22,-1.08,Omnivore,Terrestrial,Jones et al. 2009
Tamias_quadrivittatus,-1.27,-1.37,Herbivore,Terrestrial,Bergstrom 1988
Tamias_senex,-2.00,-1.05,Omnivore,Terrestrial,Jones et al. 2009
Tamias_sibiricus,-2.71,-1.02,Herbivore,Terrestrial,Geinitz 1980
Tamias_speciosus,-2.00,-1.22,Omnivore,Terrestrial,Jones et al. 2009
Tamias_townsendii,-2.14,-1.10,Omnivore,Terrestrial,Jones et al. 2009
Tamias_umbrinus,-1.49,-1.37,Herbivore,Terrestrial,Bergstrom 1988
Tamiasciurus_douglasii,-2.49,-0.65,Omnivore,Terrestrial,Jones et al. 2009
Tamiasciurus_hudsonicus,-2.32,-0.65,Herbivore,Terrestrial,"Benhamou 1996, Boutin and Schweiger 1988"
Tarsius_bancanus,-1.70,-0.94,Omnivore,Terrestrial,Jones et al. 2009
Tarsius_tarsier,-1.70,-0.77,Omnivore,Terrestrial,Jones et al. 2009
Tatera_indica,-2.76,-0.86,Omnivore,Terrestrial,Jones et al. 2009
Taxidea_taxus,0.58,0.94,Carnivore,Terrestrial,"Lindzey 1978, Messick and Hornocker 1981, Minta 1990"
Tayassu_pecari,1.16,1.31,Herbivore,Terrestrial,Fragoso 1998
Thomomys_bottae,-4.15,-0.80,Herbivore,Terrestrial,"Gettinger 1984, Reichman et al. 1982"
Thylamys_elegans,-3.15,-1.54,Carnivore,Terrestrial,Jones et al. 2009
Thylogale_stigmatica,-1.45,0.67,Herbivore,Terrestrial,Vernes et al. 1995
Thylogale_thetis,-0.86,0.73,Herbivore,Terrestrial,Johnson 1980
Tragelaphus_oryx,1.72,2.80,Herbivore,Terrestrial,Hillman 1988
Tragelaphus_scriptus,-1.43,1.74,Herbivore,Terrestrial,Allsopp 1978
Tragelaphus_strepsiceros,3.03,2.30,Herbivore,Terrestrial,"Allen Rowlandson 1980, duToit 1990"
Trichosurus_vulpecula,-1.30,0.46,Herbivore,Terrestrial,Statham and Statham 1997
Tupaia_glis,-2.06,-0.88,Omnivore,Terrestrial,Jones et al. 2009
Tursiops_aduncus,2.00,2.33,Carnivore,Marine,"Hung et al., 2004"
Tursiops_truncates,1.71,2.56,Carnivore,Marine,Gubbins et al. 2002
Uncia_uncia,1.24,1.48,Carnivore,Terrestrial,"Jackson and Ahlborn 1989, Oli 1997, Schaller et al. 1994"
Urocyon_cinereoargenteus,0.44,0.66,Omnivore,Terrestrial,"Fuller 1978, Hallberg 1973, Haroldson and Fritzell 1984"
Urocyon_littoralis,-0.71,0.29,Omnivore,Terrestrial,Crooks and Van Vuren 1995
Urotrichus_talpoides,-2.66,-1.74,Omnivore,Terrestrial,Jones et al. 2009
Ursus_americanus,1.59,2.18,Omnivore,Terrestrial,"Amstrup and Beecham 1976, Garshelis and Pelton 1981, Hellgren and Vaughan 1989, Hellgren andVaughan 1990, Lindzey and Meslow 1977, Novick and Stewart 1982, Piekielek and Burton 1975,Warburton and Powell 1985, Young and Ruff 1982, Blanchard and Knight 1991, Huber and Roth 1993,Mace and Waller 1998, Servheen 1983, Wielgus et al. 1994"
Ursus_arctos,2.91,2.34,Omnivore,Terrestrial,"Blanchard and Knight 1991, Huber and Roth 1993, Mace and Waller 1998, Servheen 1983, Wielgus etal. 1994"
Ursus_maritimus,5.10,2.41,Carnivore,Marine,"Ferguson et al., 1999"
Viverra_zibetha,1.08,0.90,Carnivore,Terrestrial,Rabinowitz 1991
Viverricula_indica,0.49,0.53,Omnivore,Terrestrial,Rabinowitz 1991
Vombatus_ursinus,-0.97,1.41,Herbivore,Terrestrial,Taylor 1993
Vulpes_lagopus,1.45,0.70,Carnivore,Terrestrial,"Anthony 1997, Eberhardt et al. 1982, Landa et al. 1998, Prestrud 1992"
Vulpes_macrotis,0.94,0.65,Carnivore,Terrestrial,"O'Neal et al. 1987, Spiegel and Bradbury 1992, White and Ralls 1993, Zoellick and Smith 1992"
Vulpes_rueppelli,1.48,0.51,Carnivore,Terrestrial,Lindsaey and MacDonald 1986
Vulpes_velox,0.74,0.32,Carnivore,Terrestrial,Jones et al. 2009
Vulpes_vulpes,0.69,0.81,Omnivore,Terrestrial,"Ables 1969, Adkins and Stott 1998, Blanco 1986, Boitani et al. 1984, Cavallini 1992, Cavallini andLovari 1994, Coman et al. 1991, Goszczynski 1989, Harrison et al. 1989, Jones and Theberge 1982,Kolb 1986, Lindsaey and MacDonald 1986, Lovari et al. 1994, Major and Sherburne 1987, Meia andWeber 1995, Pandolfi et al. 1997, Phillips and Catling 1991, Poulle et al. 1994, Sargeant et al. 1987,Servin et al. 1991, Travaini et al. 1993b, White et al. 1996, Woollard and Harris 1990"
Wallabia_bicolor,-0.82,1.18,Herbivore,Terrestrial,Troy and Coulson 1993
Xerus_erythropus,-0.91,-0.30,Herbivore,Terrestrial,Linnandkey 1996
Xerus_rutilus,-1.38,-0.50,Omnivore,Terrestrial,O'Shea 1976
Zalophus_californianus,3.72,1.93,Carnivore,Marine,"Kuhn et al., 2006"
Zapus_hudsonius,-2.64,-1.73,Omnivore,Terrestrial,Jones et al. 2009
Zapus_princeps,-2.61,-1.57,Omnivore,Terrestrial,Jones et al. 2009
